Date,Monthly Value,Accumulated Value
2017-12,32,32
2018-01,2,34
2018-02,55,89
2018-03,31,120
2018-04,7,127
2018-05,28,155
2018-06,46,201
2018-07,36,237
2018-08,41,278
2018-09,54,332
2018-10,52,384
2018-11,52,436
2018-12,27,463
2019-01,36,499
2019-02,43,542
2019-03,80,622
2019-04,56,678
2019-05,70,748
2019-06,53,801
2019-07,34,835
2019-08,41,876
2019-09,25,901
2019-10,47,948
2019-11,33,981
2019-12,37,1018
2020-01,26,1044
2020-02,43,1087
2020-03,26,1113
2020-04,33,1146
2020-05,29,1175
2020-06,18,1193
2020-07,33,1226
2020-08,16,1242
2020-09,18,1260
2020-10,17,1277
2020-11,29,1306
2020-12,37,1343
2021-01,35,1378
2021-02,31,1409
2021-03,55,1464
2021-04,36,1500
2021-05,62,1562
2021-06,66,1628
2021-07,60,1688
2021-08,26,1714
2021-09,28,1742
2021-10,31,1773
2021-11,40,1813
2021-12,19,1832
2022-01,16,1848
2022-02,30,1878
2022-03,42,1920
2022-04,35,1955
2022-05,12,1967
2022-06,22,1989
2022-07,34,2023
2022-08,41,2064
2022-09,29,2093
2022-10,26,2119
2022-11,38,2157
2022-12,28,2185
2023-01,26,2211
2023-02,31,2242
2023-03,30,2272
2023-04,19,2291
2023-05,39,2330
2023-06,32,2362
2023-07,45,2407
2023-08,48,2455
2023-09,20,2475
2023-10,30,2505
2023-11,34,2539
2023-12,30,2569
2024-01,47,2616
2024-02,34,2650
2024-03,44,2694
2024-04,32,2726
2024-05,28,2754
2024-06,61,2815
2024-07,17,2832
2024-08,7,2839
2024-10,2,2841
