Date,Monthly Value,Accumulated Value
2017-12,46,46
2018-01,8,54
2018-02,60,114
2018-03,8,122
2018-04,2,124
2018-05,12,136
2018-06,32,168
2018-07,29,197
2018-08,17,214
2018-09,33,247
2018-10,36,283
2018-11,59,342
2018-12,9,351
2019-01,10,361
2019-02,19,380
2019-03,61,441
2019-04,44,485
2019-05,46,531
2019-06,28,559
2019-07,20,579
2019-08,34,613
2019-09,20,633
2019-10,19,652
2019-11,13,665
2019-12,45,710
2020-01,12,722
2020-02,23,745
2020-03,16,761
2020-04,28,789
2020-05,17,806
2020-06,33,839
2020-07,13,852
2020-08,12,864
2020-09,8,872
2020-10,9,881
2020-11,12,893
2020-12,8,901
2021-01,73,974
2021-02,22,996
2021-03,21,1017
2021-04,29,1046
2021-05,39,1085
2021-06,29,1114
2021-07,13,1127
2021-08,6,1133
2021-09,34,1167
2021-10,21,1188
2021-11,21,1209
2021-12,8,1217
2022-01,7,1224
2022-02,18,1242
2022-03,11,1253
2022-04,22,1275
2022-05,7,1282
2022-06,14,1296
2022-07,14,1310
2022-08,23,1333
2022-09,17,1350
2022-10,19,1369
2022-11,46,1415
2022-12,8,1423
2023-01,38,1461
2023-02,17,1478
2023-03,16,1494
2023-04,11,1505
2023-05,20,1525
2023-06,16,1541
2023-07,21,1562
2023-08,18,1580
2023-09,11,1591
2023-10,4,1595
2023-11,12,1607
2023-12,16,1623
2024-01,31,1654
2024-02,13,1667
2024-03,17,1684
2024-04,21,1705
2024-05,9,1714
2024-06,16,1730
2024-07,4,1734
2024-08,7,1741
2024-09,5,1746
