Date,Monthly Value,Accumulated Value
2018-04,2,2
2018-05,1,3
2018-07,1,4
2018-11,1,5
2018-12,1,6
2019-01,1,7
2019-02,1,8
2019-03,2,10
2019-04,3,13
2019-05,1,14
2019-06,1,15
2019-07,1,16
2019-08,2,18
2019-09,3,21
2019-10,3,24
2019-11,3,27
2019-12,2,29
2020-01,4,33
2020-02,2,35
2020-03,1,36
2020-04,3,39
2020-05,1,40
2020-06,1,41
2020-07,2,43
2020-08,1,44
2020-10,1,45
2020-11,2,47
2021-02,1,48
2021-03,2,50
2021-04,1,51
2021-07,1,52
2021-12,1,53
2022-01,1,54
2022-03,2,56
2022-05,1,57
2022-06,1,58
2022-07,1,59
2022-11,1,60
2023-10,1,61
2024-10,1,62
