Date,Monthly Value,Accumulated Value
2015-02,2,2
2015-03,10,12
2015-04,17,29
2015-05,4,33
2015-06,10,43
2015-08,3,46
2015-09,7,53
2015-10,26,79
2015-11,1,80
2015-12,2,82
2016-01,34,116
2016-03,4,120
2016-04,2,122
2016-05,18,140
2016-06,24,164
2016-07,27,191
2016-08,1,192
2016-09,4,196
2016-10,30,226
2016-11,1,227
2016-12,26,253
2017-01,15,268
2017-02,7,275
2017-03,28,303
2017-04,9,312
2017-05,15,327
2017-06,24,351
2017-07,46,397
2017-08,21,418
2017-10,33,451
2017-11,33,484
2017-12,26,510
2018-01,12,522
2018-02,32,554
2018-03,1,555
2018-04,71,626
2018-05,34,660
2018-06,7,667
2018-07,5,672
2018-08,49,721
2018-09,5,726
2018-10,5,731
2018-11,21,752
2018-12,19,771
2019-01,37,808
2019-02,15,823
2019-03,22,845
2019-04,5,850
2019-05,68,918
2019-06,66,984
2019-07,39,1023
2019-08,4,1027
2019-09,29,1056
2019-10,6,1062
2019-11,29,1091
2019-12,2,1093
2020-02,28,1121
2020-03,38,1159
2020-04,90,1249
2020-05,44,1293
2020-06,2,1295
2020-07,1,1296
2020-09,24,1320
2020-10,41,1361
2020-11,7,1368
2020-12,2,1370
2021-01,68,1438
2021-02,92,1530
2021-03,37,1567
2021-04,1,1568
2021-05,39,1607
2021-07,22,1629
2021-08,6,1635
2021-09,1,1636
2021-10,18,1654
2021-11,42,1696
2021-12,16,1712
2022-03,6,1718
2022-04,12,1730
2022-05,6,1736
2022-06,4,1740
2022-07,2,1742
2022-08,9,1751
2022-09,25,1776
2022-10,8,1784
2022-11,8,1792
2023-01,3,1795
2023-03,1,1796
2023-04,1,1797
2023-05,3,1800
2023-08,28,1828
2023-09,9,1837
2023-11,4,1841
2023-12,4,1845
2024-01,4,1849
2024-02,8,1857
2024-03,2,1859
2024-04,1,1860
2024-05,6,1866
2024-08,21,1887
2024-10,8,1895
