Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,4,6
2015-03,2,8
2015-04,3,11
2015-05,12,23
2015-06,5,28
2015-07,8,36
2015-08,17,53
2015-09,15,68
2015-10,9,77
2015-11,4,81
2015-12,14,95
2016-01,15,110
2016-02,6,116
2016-03,4,120
2016-04,8,128
2016-05,5,133
2016-06,7,140
2016-07,7,147
2016-08,8,155
2016-09,9,164
2016-10,13,177
2016-11,6,183
2016-12,7,190
2017-01,17,207
2017-02,5,212
2017-03,12,224
2017-04,29,253
2017-05,8,261
2017-06,7,268
2017-07,94,362
2017-08,14,376
2017-09,59,435
2017-10,28,463
2017-11,23,486
2017-12,21,507
2018-01,10,517
2018-02,5,522
2018-03,10,532
2018-04,28,560
2018-05,15,575
2018-06,12,587
2018-07,13,600
2018-08,22,622
2018-09,13,635
2018-10,13,648
2018-11,15,663
2018-12,21,684
2019-01,20,704
2019-02,24,728
2019-03,15,743
2019-04,25,768
2019-05,21,789
2019-06,24,813
2019-07,26,839
2019-08,20,859
2019-09,6,865
2019-10,17,882
2019-11,19,901
2019-12,15,916
2020-01,31,947
2020-02,23,970
2020-03,17,987
2020-04,20,1007
2020-05,23,1030
2020-06,13,1043
2020-07,21,1064
2020-08,20,1084
2020-09,14,1098
2020-10,22,1120
2020-11,8,1128
2020-12,9,1137
2021-01,6,1143
2021-02,5,1148
2021-03,19,1167
2021-04,3,1170
2021-05,9,1179
2021-06,10,1189
2021-07,10,1199
2021-08,8,1207
2021-09,10,1217
2021-10,7,1224
2021-11,2,1226
2021-12,10,1236
2022-01,21,1257
2022-02,6,1263
2022-03,2,1265
2022-04,6,1271
2022-05,6,1277
2022-06,8,1285
2022-07,1,1286
2022-08,1,1287
2022-09,10,1297
2022-10,3,1300
2022-11,1,1301
2022-12,1,1302
2023-01,5,1307
2023-02,18,1325
2023-03,44,1369
2023-04,7,1376
2023-05,6,1382
2023-06,4,1386
2023-07,12,1398
2023-09,7,1405
2023-10,9,1414
2023-11,8,1422
2024-01,8,1430
2024-02,7,1437
2024-03,12,1449
2024-04,2,1451
2024-05,6,1457
2024-06,2,1459
2024-07,1,1460
2024-08,7,1467
2024-09,1,1468
2024-10,6,1474
