Date,Monthly Value,Accumulated Value
2016-07,2,2
2016-08,4,6
2016-09,5,11
2016-10,6,17
2016-11,10,27
2016-12,8,35
2017-01,3,38
2017-02,4,42
2017-03,3,45
2017-04,6,51
2017-05,5,56
2017-06,2,58
2017-07,7,65
2017-08,7,72
2017-09,6,78
2017-10,4,82
2017-11,4,86
2017-12,6,92
2018-01,5,97
2018-02,4,101
2018-03,9,110
2018-04,10,120
2018-05,5,125
2018-06,6,131
2018-07,4,135
2018-08,12,147
2018-09,8,155
2018-10,8,163
2018-11,5,168
2018-12,4,172
2019-01,10,182
2019-02,4,186
2019-03,8,194
2019-04,6,200
2019-05,12,212
2019-06,8,220
2019-07,6,226
2019-08,20,246
2019-09,12,258
2019-10,12,270
2019-11,7,277
2019-12,7,284
2020-01,7,291
2020-02,8,299
2020-03,2,301
2020-04,11,312
2020-05,4,316
2020-06,11,327
2020-07,7,334
2020-08,5,339
2020-09,7,346
2020-10,14,360
2020-11,9,369
2020-12,10,379
2021-01,6,385
2021-02,5,390
2021-03,8,398
2021-04,21,419
2021-05,13,432
2021-06,13,445
2021-07,15,460
2021-08,5,465
2021-09,17,482
2021-10,14,496
2021-11,14,510
2021-12,17,527
2022-01,9,536
2022-02,16,552
2022-03,10,562
2022-04,7,569
2022-05,7,576
2022-06,20,596
2022-07,31,627
2022-08,21,648
2022-09,20,668
2022-10,19,687
2022-11,8,695
2022-12,20,715
2023-01,8,723
