Date,Monthly Value,Accumulated Value
2018-11,1,1
2018-12,1,2
2019-01,1,3
2019-03,1,4
2019-04,1,5
2019-07,1,6
2019-09,1,7
2019-11,1,8
2020-01,4,12
2020-03,2,14
2020-04,1,15
2020-07,1,16
2020-10,1,17
2020-11,3,20
2020-12,4,24
2021-01,4,28
2021-02,4,32
2021-03,2,34
2021-04,2,36
2021-05,3,39
2021-06,3,42
2021-07,1,43
2021-08,4,47
2021-09,2,49
2021-11,4,53
2021-12,1,54
2022-01,3,57
2022-02,5,62
2022-03,1,63
2022-04,2,65
2022-05,3,68
2022-06,5,73
2022-07,4,77
2022-09,2,79
2022-11,2,81
2022-12,2,83
2023-01,3,86
2023-02,4,90
2023-03,4,94
2023-04,1,95
2023-05,1,96
2023-06,3,99
2023-07,1,100
2023-08,2,102
2023-09,3,105
2023-10,9,114
2023-11,1,115
2023-12,1,116
2024-01,1,117
2024-02,6,123
2024-03,1,124
2024-04,3,127
2024-05,3,130
2024-06,3,133
2024-07,3,136
2024-08,6,142
2024-09,2,144
2024-10,1,145
