Date,Monthly Value,Accumulated Value
2019-04,16,16
2019-11,206,222
2020-11,427,649
2020-12,655,1304
2021-01,2283,3587
2021-02,2129,5716
2021-03,474,6190
2021-04,412,6602
2021-05,694,7296
2021-06,1614,8910
2021-07,9,8919
2021-08,4,8923
2021-09,70,8993
2021-11,2051,11044
2022-01,10352,21396
2022-02,36092,57488
2022-03,-17,57471
2022-04,97,57568
2022-06,172,57740
2022-07,685,58425
2022-11,404,58829
2022-12,2,58831
2023-01,3606,62437
2023-02,17047,79484
2023-03,393,79877
2023-04,534,80411
2023-06,29160,109571
2023-07,6478,116049
2023-09,74768,190817
2023-10,365,191182
2023-11,4,191186
2023-12,4,191190
2024-01,74,191264
2024-02,22,191286
2024-03,51725,243011
2024-04,115793,358804
2024-05,36859,395663
2024-06,10251,405914
2024-07,787,406701
2024-08,4004,410705
2024-09,1369,412074
