Date,Monthly Value,Accumulated Value
2019-10,1,1
2019-11,1,2
2019-12,1,3
2020-01,1,4
2020-02,1,5
2020-03,2,7
2020-04,2,9
2020-05,3,12
2020-06,3,15
2020-07,3,18
2020-08,3,21
2020-09,3,24
2020-10,3,27
2020-11,3,30
2020-12,3,33
2021-01,3,36
2021-02,3,39
2021-03,3,42
2021-04,3,45
2021-05,3,48
2021-06,4,52
2021-07,4,56
2021-08,5,61
2021-09,6,67
2021-10,8,75
2021-11,9,84
2021-12,10,94
2022-01,10,104
2022-02,8,112
2022-03,10,122
2022-04,10,132
2022-05,10,142
2022-06,10,152
2022-07,10,162
2022-08,12,174
2022-09,12,186
2022-10,14,200
2022-11,13,213
2022-12,15,228
2023-01,18,246
2023-02,17,263
2023-03,16,279
2023-04,16,295
2023-05,18,313
2023-06,18,331
2023-07,18,349
2023-08,18,367
2023-09,17,384
2023-10,17,401
2023-11,17,418
2023-12,20,438
2024-01,20,458
2024-02,20,478
2024-03,21,499
2024-04,24,523
2024-05,23,546
2024-06,23,569
2024-07,22,591
2024-08,22,613
2024-09,22,635
2024-10,22,657
