Date,Monthly Value,Accumulated Value
2017-06,1,1
2017-07,1,2
2017-11,5,7
2018-04,3,10
2018-05,1,11
2018-08,1,12
2018-10,1,13
2019-02,2,15
2019-05,2,17
2019-06,1,18
2019-07,2,20
2019-10,3,23
2020-03,4,27
2020-04,2,29
2020-05,2,31
2020-06,2,33
2020-09,1,34
2020-10,2,36
2020-11,1,37
2021-01,1,38
2021-02,1,39
2021-04,6,45
2021-05,1,46
2021-08,1,47
2021-11,1,48
2021-12,2,50
2022-02,1,51
2022-04,1,52
2022-06,4,56
2022-07,5,61
2022-08,1,62
2022-09,8,70
2022-10,3,73
2022-11,2,75
2022-12,6,81
2023-01,4,85
2023-02,7,92
2023-03,7,99
2023-04,3,102
2023-05,1,103
2023-07,2,105
2023-08,1,106
2023-09,2,108
2023-10,4,112
2023-11,1,113
2023-12,3,116
2024-01,4,120
2024-02,2,122
2024-03,1,123
2024-04,2,125
2024-06,2,127
2024-07,2,129
2024-08,6,135
2024-09,2,137
2024-10,1,138
