Date,Monthly Value,Accumulated Value
2017-12,1,1
2018-01,2,3
2018-02,2,5
2018-03,2,7
2018-04,2,9
2018-05,5,14
2018-06,5,19
2018-07,5,24
2018-08,5,29
2018-09,5,34
2018-10,8,42
2018-11,9,51
2018-12,9,60
2019-01,9,69
2019-02,9,78
2019-03,9,87
2019-04,10,97
2019-05,10,107
2019-06,10,117
2019-07,10,127
2019-08,12,139
2019-09,12,151
2019-10,11,162
2019-11,13,175
2019-12,14,189
2020-01,16,205
2020-02,16,221
2020-03,15,236
2020-04,18,254
2020-05,18,272
2020-06,18,290
2020-07,18,308
2020-08,18,326
2020-09,21,347
2020-10,23,370
2020-11,24,394
2020-12,26,420
2021-01,26,446
2021-02,26,472
2021-03,27,499
2021-04,29,528
2021-05,30,558
2021-06,30,588
2021-07,30,618
2021-08,31,649
2021-09,31,680
2021-10,32,712
2021-11,34,746
2021-12,33,779
2022-01,33,812
2022-02,34,846
2022-03,34,880
2022-04,33,913
2022-05,34,947
2022-06,35,982
2022-07,34,1016
2022-08,35,1051
2022-09,35,1086
2022-10,35,1121
2022-11,34,1155
2022-12,34,1189
2023-01,34,1223
2023-02,34,1257
2023-03,36,1293
2023-04,36,1329
2023-05,37,1366
2023-06,37,1403
2023-07,38,1441
2023-08,39,1480
2023-09,40,1520
2023-10,41,1561
2023-11,41,1602
2023-12,41,1643
2024-01,41,1684
2024-02,41,1725
2024-03,41,1766
2024-04,41,1807
2024-05,42,1849
2024-06,42,1891
2024-07,43,1934
2024-08,44,1978
2024-09,44,2022
2024-10,45,2067
