Date,Monthly Value,Accumulated Value
2017-03,1.1,1.1
2017-04,1.4,2.5
2017-05,1.33,3.83
2017-06,1.9,5.73
2017-07,2.27,8.0
2017-08,1.95,9.95
2017-09,2.2,12.149999999999999
2017-10,3.59,15.739999999999998
2017-11,5.38,21.119999999999997
2017-12,3.15,24.269999999999996
2018-01,2,26.269999999999996
2018-02,3.5,29.769999999999996
2018-03,2.28,32.05
2018-04,2.71,34.76
2018-05,2.58,37.339999999999996
2018-06,3.29,40.629999999999995
2018-07,2.08,42.709999999999994
2018-08,4.35,47.059999999999995
2018-09,3.51,50.56999999999999
2018-10,3.31,53.879999999999995
2018-11,1.78,55.66
2018-12,0.81,56.47
2019-01,1.63,58.1
2019-02,4.1,62.2
2019-03,1.94,64.14
2019-04,3.37,67.51
2019-05,2.56,70.07000000000001
2019-06,3.36,73.43
2019-07,3.07,76.5
2019-08,2.48,78.98
2019-09,2.32,81.3
2019-10,4.5,85.8
2019-11,6.13,91.92999999999999
2019-12,3.79,95.72
2020-01,2.68,98.4
2020-02,2.1,100.5
2020-03,4.41,104.91
2020-04,5.81,110.72
2020-05,3.29,114.01
2020-06,2.54,116.55000000000001
2020-07,4.01,120.56000000000002
2020-08,4.27,124.83000000000001
2020-09,4.19,129.02
2020-10,2.71,131.73000000000002
2020-11,4.08,135.81000000000003
2020-12,1.97,137.78000000000003
2021-01,2.1,139.88000000000002
2021-02,2.77,142.65000000000003
2021-03,3.87,146.52000000000004
2021-04,7.91,154.43000000000004
2021-05,4.6,159.03000000000003
2021-06,4.56,163.59000000000003
2021-07,2.04,165.63000000000002
2021-08,2.55,168.18000000000004
2021-09,2.17,170.35000000000002
2021-10,2,172.35000000000002
2021-11,2.04,174.39000000000001
2021-12,2.64,177.03
2022-01,2.45,179.48
2022-02,3.18,182.66
2022-03,1.65,184.31
2022-04,0.77,185.08
2022-06,2.14,187.22
2022-07,2.52,189.74
2022-08,3.01,192.75
2022-09,6.83,199.58
2022-10,4.64,204.22
2022-11,2.99,207.21
2022-12,3.39,210.6
2023-01,2.37,212.97
2023-02,3.99,216.96
2023-03,3.61,220.57000000000002
2023-04,2.7,223.27
2023-05,2.2,225.47
2023-06,0.87,226.34
2023-07,1.32,227.66
2023-08,3.07,230.73
2023-09,2.1,232.82999999999998
2023-10,1.74,234.57
2023-11,1.67,236.23999999999998
2023-12,2.31,238.54999999999998
2024-01,2.22,240.76999999999998
2024-02,1.93,242.7
2024-03,1.24,243.94
2024-04,1.78,245.72
2024-05,1.16,246.88
2024-06,1.42,248.29999999999998
2024-07,3.68,251.98
2024-08,5.77,257.75
2024-09,3.25,261.0
2024-10,2.81,263.81
