Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-02,2,7
2015-03,4,11
2015-04,3,14
2015-06,2,16
2015-07,3,19
2015-08,1,20
2015-09,2,22
2015-10,4,26
2015-11,2,28
2015-12,2,30
2016-01,5,35
2016-02,1,36
2016-03,1,37
2016-04,5,42
2016-05,7,49
2016-06,3,52
2016-07,5,57
2016-08,1,58
2016-09,5,63
2016-10,3,66
2016-11,6,72
2016-12,4,76
2017-02,3,79
2017-03,3,82
2017-04,1,83
2017-05,6,89
2017-06,5,94
2017-09,2,96
2017-11,3,99
2017-12,3,102
2018-01,4,106
2018-02,2,108
2018-03,6,114
2018-04,8,122
2018-05,4,126
2018-06,3,129
2018-07,7,136
2018-08,4,140
2018-09,6,146
2018-10,2,148
2018-11,6,154
2018-12,4,158
2019-01,8,166
2019-02,2,168
2019-03,5,173
2019-04,3,176
2019-05,8,184
2019-06,7,191
2019-07,4,195
2019-08,4,199
2019-09,10,209
2019-10,3,212
2019-11,12,224
2019-12,7,231
2020-01,1,232
2020-02,5,237
2020-03,4,241
2020-04,4,245
2020-05,4,249
2020-06,2,251
2020-07,2,253
2020-08,3,256
2020-09,6,262
2020-10,1,263
2020-11,3,266
2020-12,2,268
2021-01,4,272
2021-02,2,274
2021-03,2,276
2021-04,3,279
2021-05,2,281
2021-06,4,285
2021-07,3,288
2021-08,2,290
2021-09,3,293
2021-11,2,295
2021-12,2,297
2022-01,6,303
2022-02,1,304
2022-04,10,314
2022-05,7,321
2022-06,8,329
2022-07,2,331
2022-08,3,334
2022-09,2,336
2022-10,7,343
2022-11,11,354
2022-12,2,356
2023-01,4,360
2023-02,1,361
2023-03,1,362
2023-04,3,365
2023-05,2,367
2023-06,5,372
2023-07,5,377
2023-08,2,379
2023-09,2,381
2023-10,9,390
2023-11,5,395
