Date,Monthly Value,Accumulated Value
2018-01,1,1
2018-02,2,3
2018-03,1,4
2018-04,3,7
2018-05,2,9
2018-06,2,11
2018-07,35,46
2018-08,14,60
2018-09,5,65
2018-10,7,72
2018-11,13,85
2018-12,5,90
2019-01,6,96
2019-02,14,110
2019-03,12,122
2019-04,13,135
2019-05,10,145
2019-06,5,150
2019-07,9,159
2019-08,9,168
2019-09,12,180
2019-10,9,189
2019-11,7,196
2019-12,21,217
2020-01,13,230
2020-02,7,237
2020-03,7,244
2020-04,11,255
2020-05,11,266
2020-06,9,275
2020-07,6,281
2020-08,4,285
2020-09,3,288
2020-10,3,291
2020-11,16,307
2020-12,4,311
2021-01,6,317
2021-02,6,323
2021-03,25,348
2021-04,4,352
2021-05,18,370
2021-06,26,396
2021-07,17,413
2021-08,12,425
2021-09,10,435
2021-10,11,446
2021-11,9,455
2021-12,17,472
2022-01,16,488
2022-02,6,494
2022-03,4,498
2022-04,15,513
2022-05,17,530
2022-06,18,548
2022-07,16,564
2022-08,11,575
2022-09,22,597
2022-10,19,616
2022-11,13,629
2022-12,14,643
2023-01,10,653
2023-02,8,661
2023-03,21,682
2023-04,16,698
2023-05,18,716
2023-06,15,731
2023-07,13,744
2023-08,18,762
2023-09,16,778
2023-10,12,790
2023-11,19,809
2023-12,12,821
2024-01,21,842
2024-02,12,854
2024-03,16,870
2024-04,12,882
2024-05,4,886
2024-06,15,901
2024-07,13,914
2024-08,8,922
2024-09,13,935
2024-10,10,945
