Date,Monthly Value,Accumulated Value
2015-01,17,17
2015-02,13,30
2015-03,66,96
2015-04,27,123
2015-05,61,184
2015-06,51,235
2015-07,137,372
2015-08,109,481
2015-09,95,576
2015-10,34,610
2015-11,42,652
2015-12,69,721
2016-01,73,794
2016-02,101,895
2016-03,72,967
2016-04,44,1011
2016-05,90,1101
2016-06,55,1156
2016-07,119,1275
2016-08,60,1335
2016-09,67,1402
2016-10,64,1466
2016-11,46,1512
2016-12,72,1584
2017-01,67,1651
2017-02,33,1684
2017-03,30,1714
2017-04,55,1769
2017-05,65,1834
2017-06,49,1883
2017-07,13,1896
2017-08,6,1902
2017-09,29,1931
2017-10,42,1973
2017-11,20,1993
2017-12,14,2007
2018-01,58,2065
2018-02,27,2092
2018-03,58,2150
2018-04,50,2200
2018-05,7,2207
2018-06,13,2220
2018-07,13,2233
2018-08,7,2240
2018-09,32,2272
2018-10,31,2303
2018-11,53,2356
2018-12,50,2406
2019-01,25,2431
2019-02,6,2437
2019-03,6,2443
2019-04,37,2480
2019-05,6,2486
2019-06,21,2507
2019-07,93,2600
2019-08,58,2658
2019-09,36,2694
2019-10,105,2799
2019-11,132,2931
2019-12,214,3145
2020-01,153,3298
2020-02,93,3391
2020-03,111,3502
2020-04,164,3666
2020-05,39,3705
2020-06,94,3799
2020-07,190,3989
2020-08,54,4043
2020-09,67,4110
2020-10,59,4169
2020-11,100,4269
2020-12,74,4343
2021-01,82,4425
2021-02,65,4490
2021-03,112,4602
2021-04,65,4667
2021-05,58,4725
2021-06,46,4771
2021-07,67,4838
2021-08,63,4901
2021-09,62,4963
2021-10,75,5038
2021-11,86,5124
2021-12,90,5214
2022-01,66,5280
2022-02,32,5312
2022-03,45,5357
2022-04,108,5465
2022-05,60,5525
2022-06,84,5609
2022-07,75,5684
2022-08,122,5806
2022-09,68,5874
2022-10,97,5971
2022-11,157,6128
2022-12,107,6235
2023-01,98,6333
2023-02,114,6447
2023-03,174,6621
2023-04,107,6728
2023-05,98,6826
2023-06,71,6897
2023-07,41,6938
2023-08,115,7053
2023-09,91,7144
2023-10,65,7209
2023-11,83,7292
2023-12,92,7384
2024-01,77,7461
2024-02,122,7583
2024-03,120,7703
2024-04,46,7749
2024-05,133,7882
2024-06,153,8035
2024-07,83,8118
2024-08,118,8236
2024-09,80,8316
2024-10,52,8368
