Date,Monthly Value,Accumulated Value
2015-01,21,21
2015-02,12,33
2015-03,11,44
2015-04,2,46
2015-05,11,57
2015-06,3,60
2015-07,11,71
2015-08,11,82
2015-09,10,92
2015-10,6,98
2015-11,11,109
2015-12,14,123
2016-01,15,138
2016-02,16,154
2016-03,14,168
2016-04,4,172
2016-05,6,178
2016-06,11,189
2016-07,5,194
2016-08,7,201
2016-09,11,212
2016-10,5,217
2016-11,13,230
2016-12,4,234
2017-01,13,247
2017-02,4,251
2017-03,19,270
2017-04,8,278
2017-05,8,286
2017-06,3,289
2017-07,4,293
2017-08,11,304
2017-09,8,312
2017-10,5,317
2017-11,7,324
2017-12,9,333
2018-01,4,337
2018-02,12,349
2018-03,9,358
2018-04,7,365
2018-05,4,369
2018-06,14,383
2018-07,10,393
2018-08,14,407
2018-09,15,422
2018-10,10,432
2018-11,22,454
2018-12,9,463
2019-01,20,483
2019-02,12,495
2019-03,15,510
2019-04,13,523
2019-05,4,527
2019-06,17,544
2019-07,12,556
2019-08,4,560
2019-09,13,573
2019-10,4,577
2019-11,7,584
2019-12,12,596
2020-01,14,610
2020-02,6,616
2020-03,20,636
2020-04,7,643
2020-05,12,655
2020-06,17,672
2020-07,15,687
2020-08,17,704
2020-09,11,715
2020-10,17,732
2020-11,8,740
2020-12,10,750
2021-01,8,758
2021-02,5,763
2021-03,7,770
2021-04,22,792
2021-05,21,813
2021-06,3,816
2021-07,18,834
2021-08,13,847
2021-09,16,863
2021-10,15,878
2021-11,17,895
2021-12,9,904
2022-01,7,911
2022-02,12,923
2022-03,9,932
2022-04,9,941
2022-05,8,949
2022-06,7,956
2022-07,8,964
2022-08,10,974
2022-09,4,978
2022-10,13,991
2022-11,14,1005
2022-12,9,1014
2023-01,5,1019
2023-02,15,1034
2023-03,20,1054
2023-04,7,1061
2023-05,16,1077
2023-06,5,1082
2023-07,17,1099
2023-08,24,1123
2023-09,7,1130
2023-10,7,1137
2023-11,7,1144
2023-12,13,1157
2024-01,9,1166
2024-02,11,1177
2024-03,9,1186
2024-04,16,1202
2024-05,15,1217
2024-06,3,1220
2024-07,4,1224
2024-08,8,1232
2024-09,7,1239
2024-10,12,1251
