Date,Monthly Value,Accumulated Value
2015-02,2,2
2015-03,2,4
2015-05,1,5
2015-07,2,7
2015-08,2,9
2015-09,3,12
2015-12,3,15
2016-01,4,19
2016-02,3,22
2016-03,2,24
2016-05,1,25
2016-06,4,29
2016-08,1,30
2016-09,2,32
2016-11,2,34
2017-01,5,39
2017-03,5,44
2017-04,2,46
2017-05,1,47
2017-08,4,51
2017-09,1,52
2017-10,2,54
2017-11,2,56
2018-01,1,57
2018-02,3,60
2018-04,1,61
2018-06,5,66
2018-07,2,68
2018-08,4,72
2018-09,4,76
2018-10,3,79
2018-11,6,85
2019-01,5,90
2019-02,2,92
2019-03,5,97
2019-04,1,98
2019-06,6,104
2019-07,5,109
2019-09,3,112
2019-11,2,114
2019-12,3,117
2020-01,5,122
2020-02,1,123
2020-03,5,128
2020-04,2,130
2020-05,3,133
2020-06,5,138
2020-07,3,141
2020-08,3,144
2020-09,4,148
2020-10,6,154
2020-11,1,155
2020-12,1,156
2021-03,1,157
2021-04,6,163
2021-05,5,168
2021-06,1,169
2021-07,2,171
2021-08,1,172
2021-09,4,176
2021-10,3,179
2021-11,2,181
2021-12,2,183
2022-01,1,184
2022-02,4,188
2022-03,2,190
2022-04,2,192
2022-05,1,193
2022-07,2,195
2022-08,1,196
2022-09,1,197
2022-10,5,202
2022-11,3,205
2022-12,3,208
2023-02,4,212
2023-03,5,217
2023-04,1,218
2023-05,5,223
2023-07,4,227
2023-08,6,233
2023-09,1,234
2023-10,3,237
2023-12,2,239
2024-01,2,241
2024-02,4,245
2024-03,3,248
2024-04,2,250
2024-05,3,253
2024-06,1,254
2024-09,1,255
2024-10,2,257
