Date,Monthly Value,Accumulated Value
2018-12,6,6
2019-01,2,8
2019-02,1,9
2019-03,5,14
2019-04,6,20
2019-06,1,21
2019-08,1,22
2019-09,2,24
2019-10,1,25
2019-11,2,27
2019-12,2,29
2020-01,2,31
2020-02,2,33
2020-03,10,43
2020-04,3,46
2020-05,12,58
2020-07,1,59
2020-08,7,66
2020-09,23,89
2020-10,19,108
2020-11,7,115
2020-12,15,130
2021-01,9,139
2021-02,5,144
2021-03,5,149
2021-04,4,153
2021-05,9,162
2021-06,10,172
2021-07,12,184
2021-08,9,193
2021-09,12,205
2021-10,15,220
2021-11,18,238
2021-12,24,262
2022-01,21,283
2022-02,17,300
2022-03,21,321
2022-04,20,341
2022-05,20,361
2022-06,48,409
2022-07,7,416
2022-08,13,429
2022-09,6,435
2022-10,16,451
2022-11,14,465
2022-12,11,476
2023-01,10,486
2023-02,14,500
2023-03,17,517
2023-04,11,528
2023-05,24,552
2023-06,34,586
2023-07,32,618
2023-08,6,624
2023-09,9,633
2023-10,29,662
2023-11,11,673
2023-12,25,698
2024-01,7,705
2024-02,12,717
2024-03,49,766
2024-04,37,803
2024-05,27,830
2024-06,40,870
2024-07,22,892
2024-08,17,909
2024-09,36,945
2024-10,20,965
