Date,Monthly Value,Accumulated Value
2019-01,2,2
2019-02,7,9
2019-03,14,23
2019-04,47,70
2019-05,11,81
2019-06,13,94
2019-07,10,104
2019-08,4,108
2019-09,2,110
2019-10,4,114
2019-11,82,196
2019-12,18,214
2020-01,7,221
2020-02,19,240
2020-03,26,266
2020-04,27,293
2020-05,59,352
2020-06,18,370
2020-07,37,407
2020-08,13,420
2020-09,70,490
2020-10,39,529
2020-11,14,543
2020-12,64,607
2021-01,68,675
2021-02,27,702
2021-03,21,723
2021-04,34,757
2021-05,44,801
2021-06,45,846
2021-07,47,893
2021-08,51,944
2021-09,48,992
2021-10,35,1027
2021-11,19,1046
2021-12,26,1072
2022-01,21,1093
2022-02,24,1117
2022-03,18,1135
2022-04,14,1149
2022-05,12,1161
2022-06,41,1202
2022-07,6,1208
2022-08,12,1220
2022-09,9,1229
2022-10,15,1244
2022-11,8,1252
2022-12,10,1262
2023-01,5,1267
2023-02,7,1274
2023-03,9,1283
2023-04,20,1303
2023-05,26,1329
2023-06,35,1364
2023-07,23,1387
2023-08,7,1394
2023-09,7,1401
2023-10,17,1418
2023-11,5,1423
2023-12,6,1429
2024-01,5,1434
2024-02,15,1449
2024-03,18,1467
2024-04,6,1473
2024-05,11,1484
2024-06,49,1533
2024-07,30,1563
2024-08,6,1569
2024-09,15,1584
2024-10,7,1591
