Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,1,2
2015-03,2,4
2015-04,1,5
2015-06,1,6
2015-07,3,9
2015-08,3,12
2015-10,1,13
2015-11,2,15
2016-02,2,17
2016-04,1,18
2016-05,1,19
2016-07,2,21
2016-08,3,24
2016-09,2,26
2016-10,1,27
2017-01,2,29
2017-02,1,30
2017-03,1,31
2017-04,3,34
2017-05,7,41
2017-06,4,45
2017-07,5,50
2017-08,8,58
2017-09,3,61
2017-10,4,65
2017-11,2,67
2017-12,3,70
2018-01,1,71
2018-02,4,75
2018-03,3,78
2018-04,3,81
2018-05,3,84
2018-06,4,88
2018-07,1,89
2018-08,5,94
2018-09,2,96
2018-10,6,102
2018-11,5,107
2018-12,5,112
2019-01,4,116
2019-02,6,122
2019-03,5,127
2019-04,7,134
2019-05,4,138
2019-06,3,141
2019-07,3,144
2019-08,6,150
2019-09,6,156
2019-10,1,157
2019-11,3,160
2019-12,3,163
2020-01,4,167
2020-02,4,171
2020-03,2,173
2020-04,9,182
2020-05,6,188
2020-06,2,190
2020-07,3,193
2020-08,2,195
2020-09,3,198
2020-10,7,205
2020-11,7,212
2020-12,1,213
2021-01,3,216
2021-02,8,224
2021-03,4,228
2021-04,2,230
2021-07,1,231
2021-09,2,233
2021-11,5,238
2021-12,3,241
2022-01,3,244
2022-02,3,247
2022-03,3,250
2022-04,2,252
2022-05,1,253
2022-06,4,257
2022-07,4,261
2022-08,2,263
2022-09,1,264
2022-10,2,266
2022-11,2,268
2022-12,3,271
2023-01,3,274
2023-03,1,275
2023-04,1,276
2023-05,2,278
2023-07,1,279
2024-02,1,280
2024-05,1,281
2024-08,2,283
