Date,Monthly Value,Accumulated Value
2018-07,3,3
2018-08,3,6
2018-09,1,7
2018-10,3,10
2018-11,1,11
2018-12,1,12
2019-01,2,14
2019-02,5,19
2019-03,2,21
2019-04,5,26
2019-05,2,28
2019-06,4,32
2019-07,2,34
2019-08,3,37
2019-09,3,40
2019-10,2,42
2019-11,4,46
2019-12,2,48
2020-01,4,52
2020-02,4,56
2020-03,2,58
2020-04,2,60
2020-05,1,61
2020-06,4,65
2020-07,3,68
2020-08,3,71
2020-09,3,74
2020-10,5,79
2020-11,5,84
2020-12,3,87
2021-01,5,92
2021-02,6,98
2021-03,2,100
2021-04,2,102
2021-05,1,103
2021-06,3,106
2021-07,4,110
2021-08,1,111
2021-09,2,113
2021-10,1,114
2021-11,1,115
2021-12,1,116
2022-01,1,117
2022-02,1,118
2022-03,2,120
2022-04,2,122
2022-06,3,125
2022-07,1,126
2022-08,1,127
2022-12,1,128
2023-01,2,130
2023-02,4,134
2023-03,1,135
2023-05,2,137
2024-05,1,138
2024-08,2,140
