Date,Monthly Value,Accumulated Value
2018-07,3.04,3.04
2018-08,3.97,7.01
2018-09,2.81,9.82
2018-10,3.27,13.09
2018-11,3.52,16.61
2018-12,3.94,20.55
2019-01,4.83,25.380000000000003
2019-02,5.23,30.610000000000003
2019-03,4.24,34.85
2019-04,5.14,39.99
2019-05,4.7,44.690000000000005
2019-06,5.34,50.03
2019-07,5.49,55.52
2019-08,5.8,61.32
2019-09,5.77,67.09
2019-10,5.81,72.9
2019-11,6.25,79.15
2019-12,6.69,85.84
2020-01,7.91,93.75
2020-02,6.45,100.2
2020-03,4.49,104.69
2020-04,4.64,109.33
2020-05,2.11,111.44
2020-06,5.04,116.48
2020-07,3.69,120.17
2020-08,5.03,125.2
2020-09,7.31,132.51
2020-10,8.16,140.67
2020-11,4.24,144.91
2020-12,7.05,151.96
2021-01,7.92,159.88
2021-02,7.5,167.38
2021-03,8.84,176.22
2021-04,8.64,184.86
2021-05,7.04,191.9
2021-06,7.51,199.41
2021-07,6.18,205.59
2021-08,2.72,208.31
2021-09,5.94,214.25
2021-10,3,217.25
2021-11,1.13,218.38
2021-12,0.72,219.1
2022-01,0.44,219.54
2022-02,1.39,220.92999999999998
2022-03,1.6,222.52999999999997
2022-04,2.25,224.77999999999997
2022-06,2.55,227.32999999999998
2022-07,2.02,229.35
2022-08,2.18,231.53
2022-12,1.37,232.9
2023-01,2.03,234.93
2023-02,2.88,237.81
2023-03,1.38,239.19
2023-05,2.12,241.31
2024-05,0.24,241.55
2024-08,0.69,242.24
