Date,Monthly Value,Accumulated Value
2018-06,11,11
2018-07,205,216
2018-08,105,321
2018-09,71,392
2018-10,67,459
2018-11,88,547
2018-12,74,621
2019-01,73,694
2019-02,93,787
2019-03,132,919
2019-04,95,1014
2019-05,108,1122
2019-06,158,1280
2019-07,142,1422
2019-08,169,1591
2019-09,180,1771
2019-10,176,1947
2019-11,294,2241
2019-12,191,2432
2020-01,117,2549
2020-02,104,2653
2020-03,140,2793
2020-04,172,2965
2020-05,141,3106
2020-06,145,3251
2020-07,93,3344
2020-08,126,3470
2020-09,136,3606
2020-10,114,3720
2020-11,129,3849
2020-12,143,3992
2021-01,121,4113
2021-02,122,4235
2021-03,125,4360
2021-04,102,4462
2021-05,91,4553
2021-06,80,4633
2021-07,86,4719
2021-08,78,4797
2021-09,69,4866
2021-10,59,4925
2021-11,45,4970
2021-12,47,5017
2022-01,45,5062
2022-02,39,5101
2022-03,45,5146
2022-04,39,5185
2022-05,46,5231
2022-06,37,5268
2022-07,36,5304
2022-08,45,5349
2022-09,53,5402
2022-10,31,5433
2022-11,32,5465
2022-12,29,5494
2023-01,35,5529
2023-02,40,5569
2023-03,49,5618
2023-04,43,5661
2023-05,24,5685
2023-06,26,5711
2023-07,40,5751
2023-08,47,5798
2023-09,36,5834
2023-10,29,5863
2023-11,31,5894
2023-12,17,5911
2024-01,30,5941
2024-02,16,5957
2024-03,25,5982
2024-04,18,6000
2024-05,18,6018
2024-06,26,6044
2024-07,24,6068
2024-08,28,6096
2024-09,11,6107
2024-10,28,6135
