Date,Monthly Value,Accumulated Value
2015-02,3,3
2015-03,1,4
2015-05,1,5
2015-06,1,6
2015-08,1,7
2015-09,2,9
2015-10,3,12
2015-11,1,13
2016-01,2,15
2016-02,1,16
2016-04,3,19
2016-05,2,21
2016-06,5,26
2016-08,1,27
2016-09,1,28
2016-11,1,29
2016-12,1,30
2017-01,2,32
2017-03,2,34
2017-04,2,36
2017-05,1,37
2017-07,1,38
2017-08,4,42
2017-09,1,43
2017-10,5,48
2017-12,4,52
2018-01,2,54
2018-03,4,58
2018-04,3,61
2018-07,1,62
2018-08,2,64
2018-09,1,65
2018-10,2,67
2018-11,2,69
2019-01,2,71
2019-04,1,72
2020-09,2,74
2021-01,1,75
2021-03,1,76
2021-04,8,84
2022-09,1,85
2023-09,1,86
