Date,Monthly Value,Accumulated Value
2015-01,0.76,0.76
2015-02,1.87,2.63
2015-03,0.83,3.46
2015-05,2.5,5.96
2015-06,3.23,9.19
2015-07,2.44,11.629999999999999
2015-08,4.3,15.93
2015-09,3.5,19.43
2015-10,3.85,23.28
2015-11,2.57,25.85
2015-12,2.23,28.080000000000002
2016-01,1.26,29.340000000000003
2016-02,3.18,32.52
2016-03,2.61,35.13
2016-04,3.25,38.38
2016-05,3.76,42.14
2016-06,3.61,45.75
2016-07,4.72,50.47
2016-08,5.79,56.26
2016-09,4.81,61.07
2016-10,4.2,65.27
2016-11,4.52,69.78999999999999
2016-12,2.66,72.44999999999999
2017-01,2.49,74.93999999999998
2017-02,2.67,77.60999999999999
2017-03,2.75,80.35999999999999
2017-04,1.94,82.29999999999998
2017-05,1.47,83.76999999999998
2017-06,2.69,86.45999999999998
2017-07,2.27,88.72999999999998
2017-08,4.46,93.18999999999997
2017-09,3.95,97.13999999999997
2017-10,6.11,103.24999999999997
2017-11,4.49,107.73999999999997
2017-12,5.22,112.95999999999997
2018-01,5.7,118.65999999999997
2018-02,4.66,123.31999999999996
2018-03,4.55,127.86999999999996
2018-04,2.14,130.00999999999996
2018-06,3.77,133.77999999999997
2018-07,4.2,137.97999999999996
2018-08,4.79,142.76999999999995
2018-09,5.7,148.46999999999994
2018-10,4.94,153.40999999999994
2018-11,4.93,158.33999999999995
2018-12,5.29,163.62999999999994
2019-01,6.94,170.56999999999994
2019-02,7.03,177.59999999999994
2019-03,6.29,183.88999999999993
2019-04,6.22,190.10999999999993
2019-05,7.1,197.20999999999992
2019-06,6.08,203.28999999999994
2019-07,3.81,207.09999999999994
2019-08,4.3,211.39999999999995
2019-09,3.63,215.02999999999994
2019-10,3.48,218.50999999999993
2019-11,3.15,221.65999999999994
2020-02,1.98,223.63999999999993
2020-04,2.02,225.65999999999994
2020-05,2.77,228.42999999999995
2020-06,4.76,233.18999999999994
2020-07,5.01,238.19999999999993
2020-08,4.1,242.29999999999993
2020-09,4.01,246.30999999999992
2020-10,3.63,249.9399999999999
2020-11,3.37,253.30999999999992
2021-01,2.98,256.2899999999999
2021-02,2.37,258.6599999999999
2021-03,3.93,262.5899999999999
2021-04,5.31,267.8999999999999
2021-05,5.53,273.4299999999999
2021-06,4.02,277.4499999999999
2021-07,3.61,281.0599999999999
2021-08,3.71,284.76999999999987
2021-10,2,286.76999999999987
2021-11,2.07,288.83999999999986
2021-12,1.39,290.22999999999985
2022-01,3.02,293.24999999999983
2022-03,2.43,295.67999999999984
2022-06,2.05,297.72999999999985
2022-07,2.32,300.04999999999984
2022-08,2.59,302.6399999999998
2022-09,3.29,305.92999999999984
2022-10,3.89,309.8199999999998
2022-11,3.51,313.3299999999998
2022-12,2.27,315.5999999999998
2023-01,4.85,320.4499999999998
2023-02,2.47,322.91999999999985
2023-03,4.97,327.8899999999999
2023-04,5.31,333.1999999999999
2023-05,5.11,338.3099999999999
2023-06,2.34,340.64999999999986
2023-07,2.49,343.1399999999999
2023-08,4.13,347.26999999999987
2023-09,3.95,351.21999999999986
2024-01,1.18,352.39999999999986
2024-03,1.47,353.8699999999999
2024-04,3.07,356.9399999999999
2024-05,3.52,360.45999999999987
2024-06,3.59,364.04999999999984
2024-08,2.82,366.86999999999983
2024-09,3.11,369.97999999999985
2024-10,1.92,371.89999999999986
