Date,Monthly Value,Accumulated Value
2015-01,7,7
2015-02,11,18
2015-03,13,31
2015-04,20,51
2015-05,19,70
2015-06,14,84
2015-07,21,105
2015-08,14,119
2015-09,19,138
2015-10,26,164
2015-11,29,193
2015-12,28,221
2016-01,21,242
2016-02,17,259
2016-03,25,284
2016-04,38,322
2016-05,18,340
2016-06,24,364
2016-07,24,388
2016-08,34,422
2016-09,16,438
2016-10,20,458
2016-11,35,493
2016-12,37,530
2017-01,27,557
2017-02,31,588
2017-03,26,614
2017-04,26,640
2017-05,38,678
2017-06,35,713
2017-07,76,789
2017-08,30,819
2017-09,28,847
2017-10,30,877
2017-11,30,907
2017-12,27,934
2018-01,30,964
2018-02,20,984
2018-03,39,1023
2018-04,26,1049
2018-05,25,1074
2018-06,47,1121
2018-07,30,1151
2018-08,35,1186
2018-09,20,1206
2018-10,21,1227
2018-11,21,1248
2018-12,24,1272
2019-01,31,1303
2019-02,20,1323
2019-03,47,1370
2019-04,33,1403
2019-05,47,1450
2019-06,21,1471
2019-07,32,1503
2019-08,27,1530
2019-09,26,1556
2019-10,27,1583
2019-11,26,1609
2019-12,32,1641
2020-01,12,1653
2020-02,23,1676
2020-03,19,1695
2020-04,23,1718
2020-05,20,1738
2020-06,17,1755
2020-07,37,1792
2020-08,19,1811
2020-09,29,1840
2020-10,25,1865
2020-11,19,1884
2020-12,20,1904
2021-01,15,1919
2021-02,29,1948
2021-03,20,1968
2021-04,26,1994
2021-05,10,2004
2021-06,14,2018
2021-07,11,2029
2021-08,17,2046
2021-09,21,2067
2021-10,17,2084
2021-11,15,2099
2021-12,12,2111
2022-01,19,2130
2022-02,11,2141
2022-03,13,2154
2022-04,9,2163
2022-05,10,2173
2022-06,7,2180
2022-07,12,2192
2022-08,10,2202
2022-09,6,2208
2022-10,11,2219
2022-11,7,2226
2022-12,6,2232
2023-01,9,2241
2023-02,8,2249
2023-03,6,2255
2023-04,6,2261
2023-05,4,2265
2023-06,8,2273
2023-07,9,2282
2023-08,3,2285
2023-09,10,2295
2023-10,8,2303
2023-11,9,2312
2023-12,12,2324
2024-01,19,2343
2024-02,10,2353
2024-03,14,2367
2024-04,17,2384
2024-05,12,2396
2024-06,5,2401
2024-07,5,2406
2024-08,14,2420
2024-09,4,2424
2024-10,8,2432
