Date,Monthly Value,Accumulated Value
2016-12,14.52,14.52
2017-01,14.99,29.509999999999998
2017-02,16.18,45.69
2017-03,28.79,74.47999999999999
2017-04,17.79,92.26999999999998
2017-05,12.39,104.65999999999998
2017-06,4.59,109.24999999999999
2017-07,13.6,122.84999999999998
2017-08,28.83,151.67999999999998
2017-09,25.03,176.70999999999998
2017-10,32.2,208.90999999999997
2017-11,18.41,227.31999999999996
2017-12,8.04,235.35999999999996
2018-01,21.75,257.10999999999996
2018-02,16.6,273.71
2018-03,23.77,297.47999999999996
2018-04,25.41,322.89
2018-05,27.76,350.65
2018-06,23.52,374.16999999999996
2018-07,14.05,388.21999999999997
2018-08,17.24,405.46
2018-09,29.21,434.66999999999996
2018-10,37.93,472.59999999999997
2018-11,29.07,501.66999999999996
2018-12,14.31,515.9799999999999
2019-01,36.69,552.6699999999998
2019-02,27.54,580.2099999999998
2019-03,15.89,596.0999999999998
2019-04,10.45,606.5499999999998
2019-05,11.74,618.2899999999998
2019-06,11.97,630.2599999999999
2019-07,15.07,645.3299999999999
2019-09,4.62,649.9499999999999
2019-10,5.71,655.66
2019-11,2.47,658.13
2019-12,4.85,662.98
2020-01,9.91,672.89
2020-02,11.44,684.33
2020-03,12.82,697.1500000000001
2020-04,4.84,701.9900000000001
2020-05,1.49,703.4800000000001
2020-06,16.85,720.3300000000002
2020-07,16.61,736.9400000000002
2020-08,11.7,748.6400000000002
2020-09,8.66,757.3000000000002
2020-10,9.69,766.9900000000002
2020-11,7.38,774.3700000000002
2020-12,11.15,785.5200000000002
2021-01,15.88,801.4000000000002
2021-02,25.54,826.9400000000002
2021-03,22.96,849.9000000000002
2021-04,10.52,860.4200000000002
2021-05,10.93,871.3500000000001
2021-06,16.74,888.0900000000001
2021-07,1.49,889.5800000000002
2021-08,7.91,897.4900000000001
2021-09,2.85,900.3400000000001
2021-10,7,907.3400000000001
2021-11,11.89,919.2300000000001
2021-12,7.6,926.8300000000002
2022-01,11.73,938.5600000000002
2022-02,7.12,945.6800000000002
2022-03,5.16,950.8400000000001
2022-04,8.16,959.0000000000001
2022-05,1.49,960.4900000000001
2022-07,8.06,968.5500000000001
2022-10,3.19,971.7400000000001
2022-11,13.27,985.0100000000001
2022-12,6.72,991.7300000000001
2023-01,2.94,994.6700000000002
2023-02,8.68,1003.3500000000001
2023-03,18.4,1021.7500000000001
2023-04,19.91,1041.66
2023-05,13.81,1055.47
2023-06,19.28,1074.75
2023-07,10.03,1084.78
2023-08,5.64,1090.42
2023-09,16.27,1106.69
2023-10,11.52,1118.21
2023-11,13.67,1131.88
2023-12,4.68,1136.5600000000002
2024-01,13.58,1150.14
2024-02,13.24,1163.38
2024-03,14.11,1177.49
2024-04,7.73,1185.22
2024-05,5.98,1191.2
2024-06,3.9,1195.1000000000001
2024-07,15.96,1211.0600000000002
2024-08,18.02,1229.0800000000002
2024-09,11.39,1240.4700000000003
2024-10,9.3,1249.7700000000002
