Date,Monthly Value,Accumulated Value
2015-01,36.63,36.63
2015-02,22.51,59.14
2015-03,33.13,92.27000000000001
2015-04,29.47,121.74000000000001
2015-05,20.14,141.88
2015-06,54.04,195.92
2015-07,51.78,247.7
2015-08,36.71,284.40999999999997
2015-09,22.31,306.71999999999997
2015-10,68.36,375.08
2015-11,63.96,439.03999999999996
2015-12,69.22,508.26
2016-01,58.95,567.21
2016-02,74.48,641.69
2016-03,71.61,713.3000000000001
2016-04,80.36,793.6600000000001
2016-05,77.8,871.46
2016-06,53.3,924.76
2016-07,71.61,996.37
2016-08,52.96,1049.33
2016-09,78.48,1127.81
2016-10,66.16,1193.97
2016-11,85.85,1279.82
2016-12,66.06,1345.8799999999999
2017-01,65.89,1411.77
2017-02,81.23,1493.0
2017-03,79.45,1572.45
2017-04,69.71,1642.16
2017-05,76.68,1718.8400000000001
2017-06,76.46,1795.3000000000002
2017-07,55.55,1850.8500000000001
2017-08,56.39,1907.2400000000002
2017-09,45.52,1952.7600000000002
2017-10,67.57,2020.3300000000002
2017-11,60.79,2081.1200000000003
2017-12,39.01,2120.1300000000006
2018-01,41.82,2161.9500000000007
2018-02,46.84,2208.790000000001
2018-03,58.91,2267.7000000000007
2018-04,51.42,2319.120000000001
2018-05,71.31,2390.4300000000007
2018-06,61.77,2452.2000000000007
2018-07,76.97,2529.1700000000005
2018-08,71.89,2601.0600000000004
2018-09,58.58,2659.6400000000003
2018-10,77.18,2736.82
2018-11,75.77,2812.59
2018-12,63.73,2876.32
2019-01,63.54,2939.86
2019-02,61.64,3001.5
2019-03,66.35,3067.85
2019-04,84.34,3152.19
2019-05,86.74,3238.93
2019-06,68.12,3307.0499999999997
2019-07,90.17,3397.22
2019-08,80.05,3477.27
2019-09,76.79,3554.06
2019-10,76.43,3630.49
2019-11,61.7,3692.1899999999996
2019-12,62.42,3754.6099999999997
2020-01,45.79,3800.3999999999996
2020-02,57.33,3857.7299999999996
2020-03,75.99,3933.7199999999993
2020-04,62.41,3996.129999999999
2020-05,61.77,4057.899999999999
2020-06,60.95,4118.849999999999
2020-07,68.69,4187.539999999999
2020-08,79.15,4266.689999999999
2020-09,64.17,4330.859999999999
2020-10,60.67,4391.529999999999
2020-11,54.94,4446.469999999998
2020-12,48.33,4494.799999999998
2021-01,58.89,4553.689999999999
2021-02,69.53,4623.219999999998
2021-03,72.21,4695.4299999999985
2021-04,64.75,4760.1799999999985
2021-05,84.34,4844.519999999999
2021-06,102.85,4947.369999999999
2021-07,85.17,5032.539999999999
2021-08,88.96,5121.499999999999
2021-09,126.45,5247.949999999999
2021-10,137,5384.949999999999
2021-11,168.87,5553.819999999999
2021-12,137.08,5690.899999999999
2022-01,126.33,5817.229999999999
2022-02,123.94,5941.169999999998
2022-03,124.24,6065.409999999998
2022-04,126.69,6192.099999999998
2022-05,152.8,6344.899999999998
2022-06,150.98,6495.879999999997
2022-07,139.28,6635.159999999997
2022-08,140.03,6775.189999999997
2022-09,127.36,6902.5499999999965
2022-10,133.52,7036.069999999997
2022-11,119,7155.069999999997
2022-12,83.61,7238.679999999997
2023-01,118.73,7357.409999999996
2023-02,99.16,7456.569999999996
2023-03,91.46,7548.029999999996
2023-04,90.08,7638.109999999996
2023-05,84.16,7722.269999999996
2023-06,77.58,7799.849999999996
2023-07,91.86,7891.7099999999955
2023-08,82.5,7974.2099999999955
2023-09,75.68,8049.889999999996
2023-10,60.44,8110.329999999995
2023-11,66.04,8176.369999999995
2023-12,42.94,8219.309999999996
2024-01,59.6,8278.909999999996
2024-02,47.46,8326.369999999995
2024-03,31.07,8357.439999999995
2024-04,45.51,8402.949999999995
2024-05,27.54,8430.489999999996
2024-06,27.59,8458.079999999996
2024-07,24.88,8482.959999999995
2024-08,19.13,8502.089999999995
2024-09,40.29,8542.379999999996
2024-10,71.4,8613.779999999995
