Date,Monthly Value,Accumulated Value
2015-01,21,21
2015-02,7,28
2015-03,35,63
2015-04,1,64
2015-06,79,143
2015-07,23,166
2015-08,94,260
2015-09,6,266
2015-10,15,281
2015-11,45,326
2015-12,66,392
2016-01,41,433
2016-02,100,533
2016-03,45,578
2016-04,47,625
2016-05,66,691
2016-06,37,728
2016-07,60,788
2016-08,64,852
2016-09,120,972
2016-10,48,1020
2016-11,62,1082
2016-12,42,1124
2017-01,42,1166
2017-02,50,1216
2017-03,71,1287
2017-04,25,1312
2017-05,64,1376
2017-06,73,1449
2017-07,80,1529
2017-08,21,1550
2017-09,3,1553
2017-10,94,1647
2017-11,96,1743
2017-12,40,1783
2018-01,22,1805
2018-02,15,1820
2018-03,48,1868
2018-04,24,1892
2018-05,26,1918
2018-06,107,2025
2018-07,79,2104
2018-08,124,2228
2018-09,84,2312
2018-10,64,2376
2018-11,102,2478
2018-12,153,2631
2019-01,136,2767
2019-02,76,2843
2019-03,81,2924
2019-04,131,3055
2019-05,90,3145
2019-06,100,3245
2019-07,247,3492
2019-08,177,3669
2019-09,110,3779
2019-10,116,3895
2019-11,102,3997
2019-12,163,4160
2020-01,81,4241
2020-02,167,4408
2020-03,160,4568
2020-04,78,4646
2020-05,96,4742
2020-06,129,4871
2020-07,87,4958
2020-08,167,5125
2020-09,69,5194
2020-10,76,5270
2020-11,62,5332
2020-12,5,5337
2021-01,74,5411
2021-02,118,5529
2021-03,140,5669
2021-04,70,5739
2021-05,117,5856
2021-06,255,6111
2021-07,236,6347
2021-08,279,6626
2021-09,258,6884
2021-10,317,7201
2021-11,436,7637
2021-12,214,7851
2022-01,227,8078
2022-02,198,8276
2022-03,171,8447
2022-04,420,8867
2022-05,475,9342
2022-06,422,9764
2022-07,334,10098
2022-08,561,10659
2022-09,364,11023
2022-10,347,11370
2022-11,211,11581
2022-12,104,11685
2023-01,321,12006
2023-02,224,12230
2023-03,152,12382
2023-04,91,12473
2023-05,47,12520
2023-06,94,12614
2023-07,57,12671
2023-08,55,12726
2023-09,76,12802
2023-10,19,12821
2023-11,104,12925
2023-12,40,12965
2024-01,31,12996
2024-02,17,13013
2024-03,14,13027
2024-04,15,13042
2024-05,8,13050
2024-06,19,13069
2024-07,3,13072
2024-08,1,13073
2024-09,5,13078
2024-10,55,13133
