Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-02,1,6
2015-03,4,10
2015-04,2,12
2015-06,2,14
2015-07,1,15
2015-10,3,18
2015-11,3,21
2015-12,1,22
2016-02,1,23
2016-03,2,25
2016-04,1,26
2016-07,1,27
2016-10,1,28
2017-02,2,30
2017-03,1,31
2017-04,1,32
2017-07,1,33
2017-10,1,34
2017-11,1,35
2017-12,1,36
2018-03,2,38
2018-04,1,39
2018-05,2,41
2018-07,2,43
2018-08,2,45
2018-09,2,47
2019-04,1,48
2019-06,1,49
2019-08,1,50
2020-01,1,51
2020-02,2,53
2020-08,1,54
2020-12,1,55
2021-02,1,56
2021-04,1,57
2021-07,1,58
2021-08,2,60
2021-09,2,62
2021-10,4,66
2021-11,9,75
2021-12,2,77
2022-01,2,79
2022-02,4,83
2022-03,1,84
2022-04,1,85
2022-05,2,87
2022-06,2,89
2022-07,2,91
2022-09,2,93
2022-10,2,95
2023-02,1,96
2023-03,2,98
2023-07,1,99
2024-03,1,100
2024-09,1,101
2024-10,4,105
