Date,Monthly Value,Accumulated Value
2015-01,1.17,1.17
2015-02,3.73,4.9
2015-03,6.45,11.350000000000001
2015-04,9.66,21.01
2015-05,8.34,29.35
2015-06,9.49,38.84
2015-07,6.11,44.95
2015-08,7.45,52.400000000000006
2015-09,10,62.400000000000006
2015-10,11.1,73.5
2015-11,15.29,88.78999999999999
2015-12,15.72,104.50999999999999
2016-01,14.64,119.14999999999999
2016-02,13.22,132.37
2016-03,12.5,144.87
2016-04,14.13,159.0
2016-05,16.83,175.82999999999998
2016-06,14.21,190.04
2016-07,13.56,203.6
2016-08,13.08,216.68
2016-09,11.86,228.54000000000002
2016-10,11.82,240.36
2016-11,8.13,248.49
2016-12,8.46,256.95
2017-01,7.78,264.72999999999996
2017-02,8.12,272.84999999999997
2017-03,10.55,283.4
2017-04,11.41,294.81
2017-05,10.65,305.46
2017-06,9.95,315.40999999999997
2017-07,13.35,328.76
2017-08,11.39,340.15
2017-09,12.95,353.09999999999997
2017-10,11.42,364.52
2017-11,13.5,378.02
2017-12,8.28,386.29999999999995
2018-01,8.87,395.16999999999996
2018-02,6.24,401.40999999999997
2018-03,8.14,409.54999999999995
2018-04,6.05,415.59999999999997
2018-05,9.24,424.84
2018-06,9.78,434.61999999999995
2018-07,9.63,444.24999999999994
2018-08,11.11,455.35999999999996
2018-09,10.72,466.08
2018-10,9.22,475.3
2018-11,11.91,487.21000000000004
2018-12,12.44,499.65000000000003
2019-01,13.24,512.89
2019-02,15.08,527.97
2019-03,13.52,541.49
2019-04,15.48,556.97
2019-05,16.5,573.47
2019-06,17.67,591.14
2019-07,18.17,609.31
2019-08,20.7,630.01
2019-09,18.39,648.4
2019-10,16.21,664.61
2019-11,17.09,681.7
2019-12,14.31,696.01
2020-01,12.74,708.75
2020-02,10.46,719.21
2020-03,7.52,726.73
2020-04,5.2,731.9300000000001
2020-05,8.01,739.94
2020-06,8.51,748.45
2020-07,8.11,756.5600000000001
2020-08,7.27,763.83
2020-09,8.76,772.59
2020-10,8.06,780.65
2020-11,10.3,790.9499999999999
2020-12,7.07,798.02
2021-01,6.93,804.9499999999999
2021-02,7.6,812.55
2021-03,7.44,819.99
2021-04,6.87,826.86
2021-05,6.82,833.6800000000001
2021-06,4.87,838.5500000000001
2021-07,7.15,845.7
2021-08,6.7,852.4000000000001
2021-09,4.14,856.5400000000001
2021-10,5,861.5400000000001
2021-11,5.12,866.6600000000001
2021-12,4.78,871.44
2022-01,5.01,876.45
2022-02,8.11,884.5600000000001
2022-03,7.35,891.9100000000001
2022-04,3.73,895.6400000000001
2022-05,4.01,899.6500000000001
2022-06,1.76,901.4100000000001
2022-07,0.82,902.2300000000001
2022-08,0.87,903.1000000000001
2022-09,1.18,904.2800000000001
2022-11,1.38,905.6600000000001
2022-12,1.06,906.72
2023-01,1.54,908.26
2023-02,1.08,909.34
2023-03,1.95,911.2900000000001
2023-04,2.56,913.85
2023-05,0.99,914.84
2023-06,1.59,916.4300000000001
2023-07,2.19,918.6200000000001
2023-08,1,919.6200000000001
2023-09,0.79,920.4100000000001
2023-10,0.63,921.0400000000001
2023-11,1.15,922.19
2023-12,0.48,922.6700000000001
2024-02,0.2,922.8700000000001
2024-03,0.31,923.1800000000001
2024-05,0.11,923.2900000000001
2024-08,0.23,923.5200000000001
2024-09,1.01,924.5300000000001
