Date,Monthly Value,Accumulated Value
2020-06,2.88,2.88
2020-07,5.71,8.59
2020-08,7.76,16.35
2020-09,9.2,25.55
2020-10,7.5,33.05
2020-11,9.41,42.459999999999994
2020-12,10.05,52.50999999999999
2021-01,13.13,65.63999999999999
2021-02,12.28,77.91999999999999
2021-03,14.9,92.82
2021-04,16.35,109.16999999999999
2021-05,13.09,122.25999999999999
2021-06,11.05,133.31
2021-07,7,140.31
2021-08,4.9,145.21
2021-09,5.65,150.86
2021-10,5,155.86
2021-11,4.47,160.33
2021-12,3.31,163.64000000000001
2022-01,3.1,166.74
2022-02,4.17,170.91
2022-03,3.9,174.81
2022-04,4.17,178.98
2022-05,3.29,182.26999999999998
2022-06,2.09,184.35999999999999
2022-07,2.96,187.32
2022-08,3.38,190.7
2022-09,7.66,198.35999999999999
2022-10,8.24,206.6
2022-11,4.53,211.13
2022-12,10.87,222.0
2023-01,11.69,233.69
2023-02,11.26,244.95
2023-03,12.47,257.42
2023-04,12.51,269.93
2023-05,10.36,280.29
2023-06,11.16,291.45000000000005
2023-07,10.31,301.76000000000005
2023-08,10.61,312.37000000000006
2023-09,11.56,323.93000000000006
2023-10,8.21,332.14000000000004
2023-11,8.37,340.51000000000005
2023-12,7.13,347.64000000000004
2024-01,9.71,357.35
2024-02,7.59,364.94
2024-03,9.54,374.48
2024-04,8.8,383.28000000000003
2024-05,5.45,388.73
2024-06,4.93,393.66
2024-07,5.55,399.21000000000004
2024-08,7.83,407.04
2024-09,6.07,413.11
2024-10,6.48,419.59000000000003
