Date,Monthly Value,Accumulated Value
2015-05,5,5
2015-06,3,8
2015-08,9,17
2015-09,15,32
2015-10,13,45
2015-11,1,46
2015-12,40,86
2016-01,54,140
2016-02,18,158
2016-03,26,184
2016-04,20,204
2016-05,24,228
2016-06,27,255
2016-07,18,273
2016-08,10,283
2016-09,24,307
2016-10,20,327
2016-11,1,328
2016-12,35,363
2017-01,5,368
2017-02,9,377
2017-03,4,381
2017-04,40,421
2017-05,1,422
2017-06,20,442
2017-07,15,457
2017-08,4,461
2017-09,12,473
2017-11,12,485
2017-12,10,495
2018-01,3,498
2018-02,1,499
2018-03,4,503
2018-04,2,505
2018-05,22,527
2018-06,7,534
2018-07,4,538
2018-08,2,540
2018-09,4,544
2018-10,1,545
2018-11,1,546
2018-12,5,551
2019-01,4,555
2019-02,2,557
2019-03,7,564
2019-04,1,565
2019-05,3,568
2019-06,24,592
2019-08,3,595
2019-09,3,598
2019-10,8,606
2019-11,3,609
2019-12,1,610
2020-01,2,612
2020-02,4,616
2020-03,2,618
2020-05,1,619
2020-06,3,622
2020-07,4,626
2020-08,5,631
2020-09,1,632
2020-11,1,633
2020-12,1,634
2021-01,10,644
2021-02,12,656
2021-03,3,659
2021-04,10,669
2021-05,2,671
2021-06,6,677
2021-07,7,684
2021-09,6,690
2022-03,1,691
2022-07,1,692
2022-08,1,693
2022-09,8,701
2022-10,2,703
2022-12,2,705
2023-01,3,708
2023-02,2,710
2023-04,1,711
2023-06,1,712
2023-07,1,713
