Date,Monthly Value,Accumulated Value
2016-09,56737,56737
2016-10,2511,59248
2016-11,3141,62389
2016-12,971,63360
2017-01,9599,72959
2017-02,1719,74678
2017-03,1282,75960
2017-04,532,76492
2017-05,2347,78839
2017-06,1010,79849
2017-07,4083,83932
2017-08,7927,91859
2017-09,1909,93768
2017-10,1119,94887
2017-11,972,95859
2017-12,16407,112266
2018-01,14303,126569
2018-02,926,127495
2018-03,1261,128756
2018-04,525,129281
2018-05,883,130164
2018-06,654,130818
2018-07,317,131135
2018-08,368,131503
2018-09,840,132343
2018-10,141,132484
2018-11,323,132807
2018-12,338,133145
2019-01,3715,136860
2019-02,824,137684
2019-03,3589,141273
2019-04,1762,143035
2019-05,13648,156683
2019-06,2421,159104
2019-07,1460,160564
2019-08,1243,161807
2019-09,491,162298
2019-10,871,163169
2019-11,614,163783
2019-12,111,163894
2020-01,543,164437
2020-02,2219,166656
2020-03,2928,169584
2020-04,26975,196559
2020-05,4371,200930
2020-06,4120,205050
2020-07,3495,208545
2020-08,514,209059
2020-09,1069,210128
2020-10,2791,212919
2020-11,3646,216565
2020-12,589,217154
2021-01,1490,218644
2021-02,503,219147
2021-03,39,219186
2021-04,118,219304
2021-05,373,219677
2021-06,2020,221697
2021-07,1155,222852
2021-08,170,223022
2021-09,2891,225913
2021-10,27,225940
2021-11,927,226867
2021-12,164,227031
2022-01,109,227140
2022-02,655,227795
2022-03,5068,232863
2022-04,2090,234953
2022-05,176,235129
2022-06,8,235137
2022-07,3,235140
2022-08,303,235443
2022-09,334,235777
2022-10,597,236374
2022-11,9868,246242
2022-12,8,246250
2023-01,131,246381
2023-02,1268,247649
2023-03,8,247657
2023-04,22,247679
2023-05,202,247881
2023-06,516,248397
2023-07,12,248409
2023-08,246,248655
2023-09,158,248813
2023-10,284,249097
2023-11,134,249231
2023-12,2,249233
2024-01,40,249273
2024-02,29,249302
2024-03,206,249508
2024-04,246,249754
2024-05,736,250490
2024-06,435,250925
2024-08,29,250954
2024-09,1735,252689
2024-10,1051,253740
