Date,Monthly Value,Accumulated Value
2015-07,3,3
2015-08,6,9
2015-09,6,15
2015-10,7,22
2015-11,7,29
2015-12,9,38
2016-01,9,47
2016-02,9,56
2016-03,9,65
2016-04,10,75
2016-05,10,85
2016-06,9,94
2016-07,9,103
2016-08,9,112
2016-09,9,121
2016-10,9,130
2016-11,9,139
2016-12,13,152
2017-01,13,165
2017-02,13,178
2017-03,13,191
2017-04,13,204
2017-05,13,217
2017-06,13,230
2017-07,13,243
2017-08,13,256
2017-09,13,269
2017-10,13,282
2017-11,13,295
2017-12,13,308
2018-01,13,321
2018-02,13,334
2018-03,13,347
2018-04,13,360
2018-05,13,373
2018-06,13,386
2018-07,13,399
2018-08,13,412
2018-09,13,425
2018-10,13,438
2018-11,13,451
2018-12,13,464
2019-01,13,477
2019-02,13,490
2019-03,13,503
2019-04,13,516
2019-05,13,529
2019-06,13,542
2019-07,13,555
2019-08,13,568
2019-09,13,581
2019-10,13,594
2019-11,13,607
2019-12,13,620
2020-01,13,633
2020-02,14,647
2020-03,14,661
2020-04,14,675
2020-05,14,689
2020-06,14,703
2020-07,14,717
2020-08,14,731
2020-09,14,745
2020-10,14,759
2020-11,14,773
2020-12,14,787
2021-01,14,801
2021-02,14,815
2021-03,14,829
2021-04,14,843
2021-05,14,857
2021-06,14,871
2021-07,14,885
2021-08,14,899
2021-09,13,912
2021-10,13,925
2021-11,13,938
2021-12,13,951
2022-01,13,964
2022-02,13,977
2022-03,14,991
2022-04,14,1005
2022-05,14,1019
2022-06,14,1033
2022-07,14,1047
2022-08,14,1061
2022-09,14,1075
2022-10,14,1089
2022-11,14,1103
2022-12,14,1117
2023-01,14,1131
2023-02,14,1145
2023-03,14,1159
2023-04,14,1173
2023-05,14,1187
2023-06,14,1201
2023-07,14,1215
2023-08,14,1229
2023-09,14,1243
2023-10,15,1258
2023-11,15,1273
2023-12,15,1288
2024-01,15,1303
2024-02,15,1318
2024-03,16,1334
2024-04,16,1350
2024-05,16,1366
2024-06,16,1382
2024-07,16,1398
2024-08,16,1414
2024-09,17,1431
2024-10,17,1448
