Date,Monthly Value,Accumulated Value
2016-04,5,5
2016-05,1,6
2016-07,1,7
2016-09,1,8
2017-02,1,9
2017-07,2,11
2017-08,1,12
2017-10,3,15
2018-03,1,16
2018-08,1,17
2018-10,7,24
2018-11,5,29
2018-12,26,55
2019-01,2,57
2019-02,2,59
2019-03,2,61
2019-05,2,63
2019-07,1,64
2019-08,1,65
2019-12,1,66
2020-02,2,68
2020-04,1,69
2020-05,1,70
2020-06,1,71
2020-08,1,72
2020-10,5,77
2021-04,1,78
2021-05,4,82
2021-09,2,84
2021-10,1,85
2021-11,1,86
2022-01,3,89
2022-02,1,90
2022-05,1,91
2022-09,6,97
2022-10,4,101
