Date,Monthly Value,Accumulated Value
2016-04,3.62,3.62
2016-05,3.42,7.04
2016-06,2.13,9.17
2016-07,1.13,10.3
2016-08,3.24,13.540000000000001
2016-09,2.69,16.23
2016-10,2.28,18.51
2016-11,1.94,20.450000000000003
2016-12,1.31,21.76
2017-01,1.12,22.880000000000003
2017-02,2.54,25.42
2017-03,2.16,27.580000000000002
2017-04,1.83,29.410000000000004
2017-05,1.29,30.700000000000003
2017-06,1.12,31.820000000000004
2017-07,2.41,34.230000000000004
2017-08,2.36,36.59
2017-09,3.14,39.730000000000004
2017-10,2.93,42.660000000000004
2017-11,2.05,44.71
2017-12,2.06,46.77
2018-01,1.35,48.120000000000005
2018-02,1.53,49.650000000000006
2018-03,1.11,50.760000000000005
2018-04,0.89,51.650000000000006
2018-05,0.33,51.980000000000004
2018-06,1.09,53.07000000000001
2018-07,0.72,53.790000000000006
2018-08,3,56.790000000000006
2018-09,4.05,60.84
2018-10,4.98,65.82000000000001
2018-11,3.08,68.9
2018-12,6.44,75.34
2019-01,4.05,79.39
2019-02,4.72,84.11
2019-03,3.44,87.55
2019-04,1.94,89.49
2019-05,5.27,94.75999999999999
2019-06,4.04,98.8
2019-07,2.69,101.49
2019-08,0.9,102.39
2019-09,0.57,102.96
2019-10,0.35,103.30999999999999
2019-11,1.63,104.93999999999998
2019-12,0.99,105.92999999999998
2020-01,0.53,106.45999999999998
2020-02,1.34,107.79999999999998
2020-03,1.16,108.95999999999998
2020-04,0.49,109.44999999999997
2020-05,0.89,110.33999999999997
2020-06,0.92,111.25999999999998
2020-07,0.4,111.65999999999998
2020-08,2.56,114.21999999999998
2020-09,1.62,115.83999999999999
2020-10,1.54,117.38
2020-11,1.16,118.53999999999999
2020-12,0.85,119.38999999999999
2021-01,0.52,119.90999999999998
2021-02,0.44,120.34999999999998
2021-03,0.84,121.18999999999998
2021-04,1.23,122.41999999999999
2021-05,2.66,125.07999999999998
2021-06,2.15,127.22999999999999
2021-07,2.65,129.88
2021-08,5.22,135.1
2021-09,4.02,139.12
2021-10,3,142.12
2021-11,1.57,143.69
2021-12,1.34,145.03
2022-01,2.99,148.02
2022-02,1.79,149.81
2022-03,2.97,152.78
2022-04,1.86,154.64000000000001
2022-05,0.87,155.51000000000002
2022-06,0.74,156.25000000000003
2022-07,0.29,156.54000000000002
2022-08,0.89,157.43
2022-09,0.56,157.99
2022-10,0.77,158.76000000000002
2022-11,1.52,160.28000000000003
2022-12,1.29,161.57000000000002
