Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-02,4,8
2015-03,3,11
2015-04,6,17
2015-05,4,21
2015-06,1,22
2015-07,3,25
2015-09,7,32
2015-10,3,35
2015-11,4,39
2015-12,6,45
2016-01,6,51
2016-02,9,60
2016-03,6,66
2016-04,19,85
2016-05,10,95
2016-06,19,114
2016-07,11,125
2016-08,14,139
2016-09,11,150
2016-10,15,165
2016-11,17,182
2016-12,4,186
2017-01,5,191
2017-02,10,201
2017-03,23,224
2017-04,12,236
2017-05,10,246
2017-06,15,261
2017-07,18,279
2017-08,7,286
2017-09,8,294
2017-10,18,312
2017-11,15,327
2017-12,16,343
2018-01,18,361
2018-02,12,373
2018-03,9,382
2018-04,10,392
2018-05,10,402
2018-06,7,409
2018-07,7,416
2018-08,4,420
2018-09,4,424
2018-10,7,431
2018-11,3,434
2018-12,4,438
2019-01,2,440
2019-03,2,442
2019-04,2,444
2019-11,1,445
2020-05,6,451
2020-06,3,454
2020-07,4,458
2020-09,3,461
2020-10,1,462
2021-04,1,463
2022-03,1,464
2024-04,1,465
