Date,Monthly Value,Accumulated Value
2017-07,2.22,2.22
2017-08,4.89,7.109999999999999
2017-09,5.57,12.68
2017-10,10.96,23.64
2017-11,9.98,33.620000000000005
2017-12,3.11,36.730000000000004
2018-01,7.15,43.88
2018-02,3.97,47.85
2018-03,6.62,54.47
2018-04,13.99,68.46
2018-05,33.78,102.24
2018-06,44.35,146.59
2018-07,41.16,187.75
2018-08,31.01,218.76
2018-09,33.32,252.07999999999998
2018-10,60.05,312.13
2018-11,52,364.13
2018-12,61.64,425.77
2019-01,56.93,482.7
2019-02,47.44,530.14
2019-03,53.29,583.43
2019-04,49.81,633.24
2019-05,49.69,682.9300000000001
2019-06,38.36,721.2900000000001
2019-07,36,757.2900000000001
2019-08,46.86,804.1500000000001
2019-09,43.1,847.2500000000001
2019-10,31.04,878.2900000000001
2019-11,29.63,907.9200000000001
2019-12,42.5,950.4200000000001
2020-01,50.66,1001.08
2020-02,33.93,1035.01
2020-03,56.78,1091.79
2020-04,66.46,1158.25
2020-05,74.83,1233.08
2020-06,63.63,1296.71
2020-07,75.28,1371.99
2020-08,67.22,1439.21
2020-09,94.24,1533.45
2020-10,84.08,1617.53
2020-11,78.38,1695.9099999999999
2020-12,86.13,1782.04
2021-01,76.3,1858.34
2021-02,96.63,1954.9699999999998
2021-03,105,2059.97
2021-04,115.85,2175.8199999999997
2021-05,85.82,2261.64
2021-06,91.06,2352.7
2021-07,88.41,2441.1099999999997
2021-08,94.21,2535.3199999999997
2021-09,84.77,2620.0899999999997
2021-10,79,2699.0899999999997
2021-11,73.13,2772.22
2021-12,65.1,2837.3199999999997
2022-01,85.73,2923.0499999999997
2022-02,82.91,3005.9599999999996
2022-03,75.81,3081.7699999999995
2022-04,63.87,3145.6399999999994
2022-05,51.97,3197.609999999999
2022-06,52.04,3249.649999999999
2022-07,45.47,3295.119999999999
2022-08,72.57,3367.689999999999
2022-09,72.58,3440.269999999999
2022-10,100.13,3540.399999999999
2022-11,100.25,3640.649999999999
2022-12,100.55,3741.1999999999994
2023-01,103.52,3844.7199999999993
2023-02,107.07,3951.7899999999995
2023-03,103.31,4055.0999999999995
2023-04,84.44,4139.539999999999
2023-05,87.94,4227.479999999999
2023-06,92.34,4319.819999999999
2023-07,85.92,4405.739999999999
2023-08,82.25,4487.989999999999
2023-09,90.69,4578.6799999999985
2023-10,91.04,4669.719999999998
2023-11,90.29,4760.009999999998
2023-12,84.05,4844.059999999999
2024-01,62.6,4906.659999999999
2024-02,49.4,4956.059999999999
2024-03,78.35,5034.409999999999
2024-04,52.56,5086.969999999999
2024-05,61.38,5148.349999999999
2024-06,64.5,5212.849999999999
2024-07,73.67,5286.5199999999995
2024-08,74.8,5361.32
2024-09,53.92,5415.24
2024-10,55.8,5471.04
