Date,Monthly Value,Accumulated Value
2015-02,1,1
2015-03,2,3
2015-04,2,5
2015-05,1,6
2015-07,1,7
2015-08,1,8
2015-09,3,11
2015-12,3,14
2016-02,1,15
2016-03,2,17
2016-05,2,19
2016-07,2,21
2016-08,1,22
2016-09,1,23
2016-10,1,24
2016-11,4,28
2016-12,3,31
2017-01,3,34
2017-02,1,35
2017-03,1,36
2017-04,3,39
2017-05,2,41
2017-06,3,44
2017-08,4,48
2017-09,1,49
2017-10,2,51
2017-12,1,52
2018-01,171,223
2018-02,253,476
2018-03,329,805
2018-04,266,1071
2018-05,259,1330
2018-06,200,1530
2018-07,263,1793
2018-08,258,2051
2018-09,153,2204
2018-10,128,2332
2018-11,102,2434
2018-12,62,2496
2019-01,44,2540
2019-02,36,2576
2019-03,63,2639
2019-04,49,2688
2019-05,38,2726
2019-06,44,2770
2019-07,21,2791
2019-08,18,2809
2019-09,9,2818
2019-10,28,2846
2019-11,30,2876
2019-12,20,2896
2020-01,9,2905
2020-02,12,2917
2020-03,5,2922
2020-04,1,2923
2020-05,4,2927
2020-06,8,2935
2020-07,10,2945
2020-08,8,2953
2020-09,13,2966
2020-10,15,2981
2020-11,17,2998
2020-12,7,3005
2021-01,6,3011
2021-02,7,3018
2021-03,15,3033
2021-04,3,3036
2021-05,9,3045
2021-06,1,3046
2021-11,6,3052
2022-07,8,3060
2022-08,23,3083
2022-09,19,3102
2022-10,76,3178
2022-11,122,3300
2022-12,29,3329
2023-01,9,3338
2023-02,23,3361
2023-03,23,3384
2023-04,13,3397
2023-05,8,3405
2023-06,10,3415
2023-07,14,3429
2023-08,18,3447
2023-09,4,3451
2023-10,6,3457
2023-12,3,3460
2024-01,5,3465
2024-02,2,3467
2024-03,5,3472
2024-04,6,3478
2024-05,1,3479
2024-06,6,3485
2024-07,10,3495
2024-08,19,3514
2024-09,22,3536
2024-10,20,3556
