Date,Monthly Value,Accumulated Value
2017-05,1,1
2018-01,137,138
2018-02,213,351
2018-03,303,654
2018-04,261,915
2018-05,241,1156
2018-06,190,1346
2018-07,214,1560
2018-08,247,1807
2018-09,141,1948
2018-10,131,2079
2018-11,95,2174
2018-12,55,2229
2019-01,42,2271
2019-02,34,2305
2019-03,41,2346
2019-04,53,2399
2019-05,31,2430
2019-06,39,2469
2019-07,19,2488
2019-08,14,2502
2019-09,10,2512
2019-10,31,2543
2019-11,24,2567
2019-12,18,2585
2020-01,8,2593
2020-02,4,2597
2020-05,4,2601
2020-06,19,2620
2020-07,5,2625
2020-08,2,2627
2020-09,15,2642
2020-10,12,2654
2020-11,11,2665
2020-12,5,2670
2021-01,5,2675
2021-02,3,2678
2021-03,10,2688
2021-04,4,2692
2021-11,6,2698
2022-01,1,2699
2022-08,19,2718
2022-09,13,2731
2022-10,49,2780
2022-11,125,2905
2022-12,15,2920
2023-01,6,2926
2023-02,11,2937
2023-03,8,2945
2023-04,4,2949
2023-05,3,2952
2023-06,8,2960
2023-07,12,2972
2023-08,16,2988
2023-09,1,2989
2023-11,3,2992
2024-01,1,2993
2024-02,1,2994
2024-03,1,2995
2024-04,5,3000
2024-06,4,3004
2024-07,13,3017
2024-08,17,3034
2024-09,20,3054
2024-10,20,3074
