Date,Monthly Value,Accumulated Value
2015-01,12,12
2015-02,20,32
2015-03,13,45
2015-04,18,63
2015-05,21,84
2015-06,20,104
2015-07,20,124
2015-08,19,143
2015-09,17,160
2015-10,15,175
2015-11,27,202
2015-12,23,225
2016-01,21,246
2016-02,24,270
2016-03,21,291
2016-04,23,314
2016-05,25,339
2016-06,21,360
2016-07,20,380
2016-08,16,396
2016-09,28,424
2016-10,13,437
2016-11,27,464
2016-12,24,488
2017-01,20,508
2017-02,17,525
2017-03,32,557
2017-04,25,582
2017-05,29,611
2017-06,28,639
2017-07,26,665
2017-08,24,689
2017-09,16,705
2017-10,14,719
2017-11,17,736
2017-12,22,758
2018-01,57,815
2018-02,28,843
2018-03,22,865
2018-04,26,891
2018-05,35,926
2018-06,28,954
2018-07,19,973
2018-08,27,1000
2018-09,27,1027
2018-10,17,1044
2018-11,18,1062
2018-12,18,1080
2019-01,24,1104
2019-02,17,1121
2019-03,36,1157
2019-04,8,1165
2019-05,19,1184
2019-06,11,1195
2019-07,16,1211
2019-08,14,1225
2019-09,12,1237
2019-10,21,1258
2019-11,16,1274
2019-12,20,1294
2020-01,12,1306
2020-02,5,1311
2020-03,18,1329
2020-04,7,1336
2020-05,16,1352
2020-06,13,1365
2020-07,14,1379
2020-08,17,1396
2020-09,11,1407
2020-10,8,1415
2020-11,9,1424
2020-12,11,1435
2021-01,10,1445
2021-02,21,1466
2021-03,21,1487
2021-04,18,1505
2021-05,18,1523
2021-06,16,1539
2021-07,16,1555
2021-08,11,1566
2021-09,18,1584
2021-10,14,1598
2021-11,14,1612
2021-12,11,1623
2022-01,24,1647
2022-02,19,1666
2022-03,16,1682
2022-04,15,1697
2022-05,11,1708
2022-06,18,1726
2022-07,16,1742
2022-08,23,1765
2022-09,16,1781
2022-10,22,1803
2022-11,16,1819
2022-12,24,1843
2023-01,17,1860
2023-02,20,1880
2023-03,14,1894
2023-04,19,1913
2023-05,12,1925
2023-06,11,1936
2023-07,14,1950
2023-08,7,1957
2023-09,10,1967
2023-10,10,1977
2023-11,16,1993
2023-12,14,2007
2024-01,10,2017
2024-02,4,2021
2024-03,8,2029
2024-04,5,2034
2024-05,10,2044
2024-06,5,2049
2024-07,4,2053
2024-08,11,2064
2024-09,17,2081
2024-10,12,2093
