Date,Monthly Value,Accumulated Value
2017-09,3.59,3.59
2017-10,2.14,5.73
2017-12,2.02,7.75
2018-03,2.02,9.77
2018-04,4.03,13.8
2018-07,2.02,15.82
2018-09,4.87,20.69
2018-10,6.9,27.590000000000003
2018-11,4.76,32.35
2018-12,2.74,35.09
2019-01,4.17,39.260000000000005
2019-02,7.63,46.89000000000001
2019-03,26.11,73.0
2019-04,21.31,94.31
2019-05,15.69,110.0
2019-06,21.83,131.82999999999998
2019-07,8.03,139.85999999999999
2019-08,3.04,142.89999999999998
2019-09,2.14,145.03999999999996
2019-10,6.45,151.48999999999995
2019-11,13.13,164.61999999999995
2019-12,8.79,173.40999999999994
2020-01,6.18,179.58999999999995
2020-02,6.7,186.28999999999994
2020-03,16.94,203.22999999999993
2020-04,8.43,211.65999999999994
2020-05,8.84,220.49999999999994
2020-06,5.3,225.79999999999995
2020-07,6.32,232.11999999999995
2020-08,6.62,238.73999999999995
2020-09,8.97,247.70999999999995
2020-10,3.47,251.17999999999995
2020-11,4.03,255.20999999999995
2020-12,3.58,258.78999999999996
2021-01,6.17,264.96
2021-02,5,269.96
2021-03,22.56,292.52
2021-04,15.11,307.63
2021-05,5.02,312.65
2021-06,14.96,327.60999999999996
2021-07,5.13,332.73999999999995
2021-08,7.78,340.5199999999999
2021-09,8.68,349.19999999999993
2021-10,8,357.19999999999993
2021-11,7.74,364.93999999999994
2021-12,6.31,371.24999999999994
2022-01,4.87,376.11999999999995
2022-02,4.76,380.87999999999994
2022-03,4.11,384.98999999999995
2022-04,11.75,396.73999999999995
2022-05,7.06,403.79999999999995
2022-06,6.05,409.84999999999997
2022-07,4.1,413.95
2022-08,2.94,416.89
2022-09,5.76,422.65
2022-10,13.48,436.13
2022-11,9.62,445.75
2022-12,10.46,456.21
2023-01,11.15,467.35999999999996
2023-02,4.22,471.58
2023-03,4.49,476.07
2023-05,2.14,478.21
2023-06,9.22,487.43
2023-07,3.57,491.0
2023-08,2.02,493.02
2023-09,3.44,496.46
2023-10,4.16,500.62
2023-11,3.18,503.8
2023-12,2.35,506.15000000000003
2024-01,2.85,509.00000000000006
2024-04,2.02,511.02000000000004
2024-06,8.53,519.5500000000001
2024-09,2.74,522.2900000000001
2024-10,2.02,524.3100000000001
