Date,Monthly Value,Accumulated Value
2017-07,1,1
2017-08,3,4
2017-09,6,10
2017-10,2,12
2017-11,8,20
2017-12,5,25
2018-01,7,32
2018-02,3,35
2018-03,10,45
2018-04,8,53
2018-05,10,63
2018-06,12,75
2018-07,10,85
2018-08,14,99
2018-09,10,109
2018-10,7,116
2018-11,25,141
2018-12,15,156
2019-01,13,169
2019-02,14,183
2019-03,22,205
2019-04,26,231
2019-05,24,255
2019-06,25,280
2019-07,36,316
2019-08,19,335
2019-09,18,353
2019-10,31,384
2019-11,31,415
2019-12,41,456
2020-01,16,472
2020-02,15,487
2020-03,30,517
2020-04,27,544
2020-05,29,573
2020-06,33,606
2020-07,27,633
2020-08,27,660
2020-09,24,684
2020-10,24,708
2020-11,36,744
2020-12,30,774
2021-01,42,816
2021-02,26,842
2021-03,41,883
2021-04,31,914
2021-05,24,938
2021-06,37,975
2021-07,32,1007
2021-08,26,1033
2021-09,28,1061
2021-10,34,1095
2021-11,42,1137
2021-12,37,1174
2022-01,46,1220
2022-02,23,1243
2022-03,31,1274
2022-04,34,1308
2022-05,23,1331
2022-06,35,1366
2022-07,36,1402
2022-08,28,1430
2022-09,27,1457
2022-10,16,1473
2022-11,19,1492
2022-12,19,1511
2023-01,22,1533
2023-02,35,1568
2023-03,28,1596
2023-04,33,1629
2023-05,28,1657
2023-06,22,1679
2023-07,20,1699
2023-08,34,1733
2023-09,11,1744
2023-10,10,1754
2023-11,14,1768
2023-12,14,1782
2024-01,18,1800
2024-02,17,1817
2024-03,24,1841
2024-04,17,1858
2024-05,17,1875
2024-06,17,1892
2024-07,16,1908
2024-08,13,1921
2024-09,14,1935
2024-10,11,1946
