Date,Monthly Value,Accumulated Value
2015-01,78.96,78.96
2015-02,88.03,166.99
2015-03,131.18,298.17
2015-04,121.91,420.08000000000004
2015-05,112.17,532.25
2015-06,105.86,638.11
2015-07,132.85,770.96
2015-08,131.71,902.6700000000001
2015-09,124.17,1026.8400000000001
2015-10,124.32,1151.16
2015-11,177.96,1329.1200000000001
2015-12,197.01,1526.13
2016-01,251.5,1777.63
2016-02,241.25,2018.88
2016-03,223.35,2242.23
2016-04,197.2,2439.43
2016-05,201.26,2640.6899999999996
2016-06,183.07,2823.7599999999998
2016-07,156.27,2980.0299999999997
2016-08,172.09,3152.12
2016-09,168.06,3320.18
2016-10,147.37,3467.5499999999997
2016-11,175.9,3643.45
2016-12,151.14,3794.5899999999997
2017-01,150.32,3944.91
2017-02,196.99,4141.9
2017-03,217.16,4359.0599999999995
2017-04,160.43,4519.49
2017-05,186.07,4705.5599999999995
2017-06,201.43,4906.99
2017-07,177.21,5084.2
2017-08,192.14,5276.34
2017-09,223.45,5499.79
2017-10,206.78,5706.57
2017-11,172.17,5878.74
2017-12,134.44,6013.179999999999
2018-01,186.06,6199.24
2018-02,191.28,6390.5199999999995
2018-03,193.23,6583.749999999999
2018-04,215.03,6798.779999999999
2018-05,187.6,6986.379999999999
2018-06,150.08,7136.459999999999
2018-07,214.87,7351.329999999999
2018-08,238.64,7589.969999999999
2018-09,168.91,7758.879999999999
2018-10,218.27,7977.15
2018-11,193.98,8171.129999999999
2018-12,165.34,8336.47
2019-01,244.35,8580.82
2019-02,249.22,8830.039999999999
2019-03,273.79,9103.83
2019-04,288.6,9392.43
2019-05,273.38,9665.81
2019-06,274.16,9939.97
2019-07,325.76,10265.73
2019-08,298.14,10563.869999999999
2019-09,224.81,10788.679999999998
2019-10,293.56,11082.239999999998
2019-11,258.5,11340.739999999998
2019-12,192.07,11532.809999999998
2020-01,234.93,11767.739999999998
2020-02,240.68,12008.419999999998
2020-03,254.33,12262.749999999998
2020-04,276.13,12538.879999999997
2020-05,247.56,12786.439999999997
2020-06,252.6,13039.039999999997
2020-07,198.36,13237.399999999998
2020-08,196.79,13434.189999999999
2020-09,226.76,13660.949999999999
2020-10,216.07,13877.019999999999
2020-11,148.81,14025.829999999998
2020-12,203.12,14228.949999999999
2021-01,192.2,14421.15
2021-02,203.65,14624.8
2021-03,242.1,14866.9
2021-04,227.82,15094.72
2021-05,225.35,15320.07
2021-06,163.18,15483.25
2021-07,232.63,15715.88
2021-08,218.3,15934.179999999998
2021-09,183,16117.179999999998
2021-10,213,16330.179999999998
2021-11,237.17,16567.35
2021-12,220.87,16788.219999999998
2022-01,224.26,17012.479999999996
2022-02,169.44,17181.919999999995
2022-03,193.79,17375.709999999995
2022-04,247.14,17622.849999999995
2022-05,189.58,17812.429999999997
2022-06,186,17998.429999999997
2022-07,197.68,18196.109999999997
2022-08,264.82,18460.929999999997
2022-09,230.6,18691.529999999995
2022-10,244.9,18936.429999999997
2022-11,252.29,19188.719999999998
2022-12,214.52,19403.239999999998
2023-01,232.72,19635.96
2023-02,246.31,19882.27
2023-03,243.23,20125.5
2023-04,211.44,20336.94
2023-05,252.08,20589.02
2023-06,262.96,20851.98
2023-07,288.95,21140.93
2023-08,329.58,21470.510000000002
2023-09,234.83,21705.340000000004
2023-10,323.75,22029.090000000004
2023-11,291.94,22321.030000000002
2023-12,247.63,22568.660000000003
2024-01,294.48,22863.140000000003
2024-02,300.25,23163.390000000003
2024-03,288.94,23452.33
2024-04,258.93,23711.260000000002
2024-05,274.72,23985.980000000003
2024-06,258.3,24244.280000000002
2024-07,264.87,24509.15
2024-08,255.11,24764.260000000002
2024-09,281.8,25046.06
2024-10,287,25333.06
