Date,Monthly Value,Accumulated Value
2019-11,8.17,8.17
2019-12,7.38,15.55
2020-01,1.73,17.28
2020-02,2.73,20.01
2020-03,4.15,24.160000000000004
2020-04,8.02,32.18000000000001
2020-05,4.58,36.760000000000005
2020-07,41.8,78.56
2020-08,52.64,131.2
2020-09,10.33,141.53
2020-11,9.79,151.32
2020-12,11.48,162.79999999999998
2021-01,23.01,185.80999999999997
2021-02,35.78,221.58999999999997
2021-03,29.48,251.06999999999996
2021-04,93.04,344.10999999999996
2021-05,56.18,400.28999999999996
2021-06,53.27,453.55999999999995
2021-07,107.85,561.41
2021-08,72.04,633.4499999999999
2021-09,81.58,715.03
2021-10,70,785.03
2021-11,62.65,847.68
2021-12,56.92,904.5999999999999
2022-01,71.18,975.78
2022-02,62.8,1038.58
2022-03,30.64,1069.22
2022-04,60,1129.22
2022-05,79.53,1208.75
2022-06,101.84,1310.59
2022-07,116.13,1426.7199999999998
2022-08,133.7,1560.4199999999998
2022-09,167.92,1728.34
2022-10,480.26,2208.6
2022-11,219.1,2427.7
2022-12,192.94,2620.64
2023-01,174.57,2795.21
2023-02,232.46,3027.67
2023-03,187.69,3215.36
