Date,Monthly Value,Accumulated Value
2019-01,70.4,70.4
2019-02,74.75,145.15
2019-03,68.93,214.08
2019-04,72.73,286.81
2019-05,42.26,329.07
2019-06,45.22,374.28999999999996
2019-07,117.88,492.16999999999996
2019-08,69.11,561.28
2019-09,101.4,662.68
2019-10,98.99,761.67
2019-11,124.57,886.24
2019-12,109.01,995.25
2020-01,93.13,1088.38
2020-02,144.35,1232.73
2020-03,142.11,1374.8400000000001
2020-04,176.11,1550.9500000000003
2020-05,181.45,1732.4000000000003
2020-06,161.45,1893.8500000000004
2020-07,167.4,2061.2500000000005
2020-08,112.78,2174.0300000000007
2020-09,169.52,2343.5500000000006
2020-10,166.72,2510.2700000000004
2020-11,215.03,2725.3000000000006
2020-12,243.09,2968.390000000001
2021-01,219.98,3188.370000000001
2021-02,170.01,3358.380000000001
2021-03,242.92,3601.300000000001
2021-04,200.5,3801.800000000001
2021-05,196.68,3998.480000000001
2021-06,217.7,4216.180000000001
2021-07,221.41,4437.590000000001
2021-08,182.82,4620.410000000001
2021-09,203.01,4823.420000000001
2021-10,225,5048.420000000001
2021-11,261.58,5310.000000000001
2021-12,233.93,5543.930000000001
2022-01,329.95,5873.880000000001
2022-02,195.31,6069.190000000001
2022-03,299.26,6368.450000000002
2022-04,371.83,6740.280000000002
2022-05,345.46,7085.740000000002
2022-06,364.82,7450.560000000001
2022-07,341.8,7792.3600000000015
2022-08,364.97,8157.330000000002
2022-09,310.7,8468.030000000002
2022-10,310.73,8778.760000000002
2022-11,340.42,9119.180000000002
2022-12,346.84,9466.020000000002
2023-01,254.8,9720.820000000002
2023-02,254.69,9975.510000000002
2023-03,298.85,10274.360000000002
2023-04,258.09,10532.450000000003
2023-05,244.06,10776.510000000002
2023-06,298.3,11074.810000000001
2023-07,268.93,11343.740000000002
2023-08,231.23,11574.970000000001
2023-09,212.96,11787.93
2023-10,248.23,12036.16
2023-11,235.41,12271.57
2023-12,206.52,12478.09
2024-01,209.16,12687.25
2024-02,137.52,12824.77
2024-03,185.85,13010.62
2024-04,207.25,13217.87
2024-05,225.09,13442.960000000001
2024-06,212.11,13655.070000000002
2024-07,207.02,13862.090000000002
2024-08,269.57,14131.660000000002
2024-09,224.12,14355.780000000002
2024-10,238.81,14594.590000000002
