Date,Monthly Value,Accumulated Value
2019-01,5,5
2019-02,6,11
2019-03,6,17
2019-04,5,22
2019-05,4,26
2019-06,8,34
2019-07,8,42
2019-08,7,49
2019-09,8,57
2019-10,8,65
2019-11,10,75
2019-12,9,84
2020-01,8,92
2020-02,9,101
2020-03,10,111
2020-04,14,125
2020-05,12,137
2020-06,9,146
2020-07,12,158
2020-08,12,170
2020-09,12,182
2020-10,21,203
2020-11,11,214
2020-12,13,227
2021-01,13,240
2021-02,15,255
2021-03,19,274
2021-04,16,290
2021-05,17,307
2021-06,17,324
2021-07,15,339
2021-08,14,353
2021-09,15,368
2021-10,15,383
2021-11,16,399
2021-12,16,415
2022-01,22,437
2022-02,20,457
2022-03,20,477
2022-04,20,497
2022-05,19,516
2022-06,21,537
2022-07,26,563
2022-08,28,591
2022-09,21,612
2022-10,18,630
2022-11,17,647
2022-12,23,670
2023-01,14,684
2023-02,17,701
2023-03,18,719
2023-04,19,738
2023-05,16,754
2023-06,19,773
2023-07,14,787
2023-08,16,803
2023-09,14,817
2023-10,20,837
2023-11,18,855
2023-12,17,872
2024-01,17,889
2024-02,15,904
2024-03,17,921
2024-04,15,936
2024-05,15,951
2024-06,12,963
2024-07,11,974
2024-08,14,988
2024-09,9,997
2024-10,11,1008
