Date,Monthly Value,Accumulated Value
2019-01,83674,83674
2019-02,114947,198621
2019-03,29065,227686
2019-04,39228,266914
2019-05,29350,296264
2019-06,10158,306422
2019-07,94395,400817
2019-08,32485,433302
2019-09,72528,505830
2019-10,61957,567787
2019-11,46641,614428
2019-12,134313,748741
2020-01,67108,815849
2020-02,67437,883286
2020-03,108470,991756
2020-04,237397,1229153
2020-05,43108,1272261
2020-06,73031,1345292
2020-07,216809,1562101
2020-08,51072,1613173
2020-09,79898,1693071
2020-10,55315,1748386
2020-11,63772,1812158
2020-12,169450,1981608
2021-01,70958,2052566
2021-02,35435,2088001
2021-03,212458,2300459
2021-04,74002,2374461
2021-05,282884,2657345
2021-06,192586,2849931
2021-07,170019,3019950
2021-08,45594,3065544
2021-09,208915,3274459
2021-10,22091,3296550
2021-11,385409,3681959
2021-12,252112,3934071
2022-01,386431,4320502
2022-02,390090,4710592
2022-03,333386,5043978
2022-04,376298,5420276
2022-05,277339,5697615
2022-06,229537,5927152
2022-07,379816,6306968
2022-08,502814,6809782
2022-09,168310,6978092
2022-10,229215,7207307
2022-11,347609,7554916
2022-12,223400,7778316
2023-01,328087,8106403
2023-02,245049,8351452
2023-03,401670,8753122
2023-04,417570,9170692
2023-05,252964,9423656
2023-06,313631,9737287
2023-07,314188,10051475
2023-08,366133,10417608
2023-09,186661,10604269
2023-10,72314,10676583
2023-11,115781,10792364
2023-12,91716,10884080
2024-01,122860,11006940
2024-02,173093,11180033
2024-03,384483,11564516
2024-04,83657,11648173
2024-05,139203,11787376
2024-06,403700,12191076
2024-07,463493,12654569
2024-08,513522,13168091
2024-09,273968,13442059
2024-10,170064,13612123
