Date,Monthly Value,Accumulated Value
2016-08,3207,3207
2017-01,4018,7225
2017-12,30476,37701
2018-01,35156,72857
2018-04,748,73605
2018-05,318,73923
2018-07,1982,75905
2018-08,48881,124786
2018-11,427,125213
2019-01,4,125217
2019-03,112562,237779
2019-05,8,237787
2019-06,1374,239161
2020-01,10,239171
2020-03,52,239223
2020-04,2998,242221
2020-05,742,242963
2020-06,1115,244078
2020-07,637,244715
2020-08,40,244755
2020-09,3,244758
2020-10,174,244932
2020-11,62,244994
2020-12,1115,246109
2021-01,7,246116
2021-02,3851,249967
2021-03,1971,251938
2021-08,36,251974
2021-09,4247,256221
2021-10,15,256236
2021-12,2,256238
2022-01,1,256239
2022-04,1390,257629
2022-06,320,257949
2022-07,36,257985
2022-08,2,257987
2022-12,2,257989
2023-01,1464,259453
2023-03,2,259455
2023-04,2,259457
2023-05,668,260125
2023-12,59584,319709
2024-07,69,319778
