Date,Monthly Value,Accumulated Value
2016-09,11,11
2016-10,3,14
2017-12,3,17
2018-04,6,23
2018-06,7,30
2018-07,4,34
2018-08,2,36
2018-09,8,44
2018-11,5,49
2019-01,2,51
2019-03,10,61
2019-04,2,63
2019-05,6,69
2019-06,52,121
2019-07,12,133
2019-08,1,134
2019-09,3,137
2020-02,14,151
2020-03,31,182
2020-04,72,254
2020-05,26,280
2020-06,13,293
2020-07,11,304
2020-08,1,305
2020-09,1,306
2020-10,2,308
2020-11,7,315
2020-12,5,320
2021-01,3,323
2021-02,11,334
2021-03,12,346
2021-04,3,349
2021-05,1,350
2021-08,2,352
2021-09,1,353
2021-10,1,354
2022-01,4,358
2022-04,31,389
2022-06,2,391
2022-07,1,392
2022-08,1,393
2022-12,1,394
2023-01,3,397
2023-03,1,398
2023-04,1,399
2023-05,3,402
2023-10,2,404
2024-07,6,410
2024-08,4,414
