Date,Monthly Value,Accumulated Value
2015-01,5,5
2015-11,262,267
2016-03,14290,14557
2016-09,3571,18128
2016-12,3,18131
2017-01,57,18188
2017-05,5,18193
2017-06,5,18198
2017-07,180,18378
2017-09,90,18468
2017-11,26058,44526
2018-03,28349,72875
2018-06,4073,76948
2018-07,110,77058
2018-11,-2,77056
2019-04,3420,80476
2019-05,3208,83684
2019-07,-18,83666
2019-08,5,83671
2019-11,3582,87253
2019-12,25843,113096
2020-01,-506,112590
2020-03,2472,115062
2020-04,211,115273
2020-05,4,115277
2020-06,347,115624
2020-07,58,115682
2020-08,16,115698
2020-09,10471,126169
2020-10,6642,132811
2020-11,11,132822
2021-01,13409,146231
2021-02,91,146322
2021-03,132,146454
2021-04,19,146473
2021-05,22,146495
2021-06,346,146841
2021-07,36,146877
2021-08,-61,146816
2021-09,61,146877
2021-10,8,146885
2021-11,-67687,79198
2021-12,-14,79184
2022-01,8,79192
2022-02,-102,79090
2022-03,83,79173
2022-04,-1475,77698
2022-05,43,77741
2022-06,2749,80490
2022-07,-9573,70917
2022-08,-3127,67790
2022-09,-2,67788
2022-10,-1574,66214
2022-11,-2239,63975
2022-12,633,64608
2023-01,14987,79595
2023-02,834,80429
2023-03,-1401,79028
2023-04,347,79375
2023-05,527,79902
2023-06,155,80057
2023-07,24,80081
2023-08,215,80296
2023-09,5687,85983
2023-10,222,86205
2023-11,11833,98038
2023-12,376,98414
2024-01,-4,98410
2024-03,954,99364
2024-04,66,99430
2024-05,305,99735
2024-06,233,99968
2024-07,-9041,90927
2024-08,1356,92283
2024-09,4758,97041
2024-10,-1085,95956
