Date,Monthly Value,Accumulated Value
2016-12,1665,1665
2017-01,1294,2959
2017-02,598,3557
2017-03,1162,4719
2017-04,1564,6283
2017-05,154,6437
2017-06,3859,10296
2017-07,3739,14035
2017-08,5970,20005
2017-09,691,20696
2017-10,475,21171
2017-11,1418,22589
2017-12,1060,23649
2018-01,972,24621
2018-02,355,24976
2018-03,1004,25980
2018-04,921,26901
2018-05,538,27439
2018-06,53,27492
2018-07,5382,32874
2018-08,926,33800
2018-09,722,34522
2018-10,590,35112
2018-11,3549,38661
2018-12,9588,48249
2019-01,2528,50777
2019-02,4363,55140
2019-03,7129,62269
2019-04,2398,64667
2019-05,2525,67192
2019-06,3991,71183
2019-07,4832,76015
2019-08,7182,83197
2019-09,121,83318
2019-10,954,84272
2019-11,6481,90753
2019-12,6136,96889
2020-01,5898,102787
2020-02,1231,104018
2020-03,4547,108565
2020-04,5545,114110
2020-05,3060,117170
2020-06,2288,119458
2020-07,3513,122971
2020-08,630,123601
2020-09,552,124153
2020-10,1891,126044
2020-11,2179,128223
2020-12,466,128689
2021-01,1480,130169
2021-02,230,130399
2021-03,631,131030
2021-04,2080,133110
2021-05,8173,141283
2021-06,3540,144823
2021-07,3414,148237
2021-08,4326,152563
2021-09,2056,154619
2021-10,138,154757
2021-11,1490,156247
2021-12,9545,165792
2022-01,26100,191892
2022-02,10912,202804
2022-03,44688,247492
2022-04,3098,250590
2022-05,6165,256755
2022-06,31462,288217
2022-07,35500,323717
2022-08,12259,335976
2022-09,21064,357040
2022-10,9560,366600
2022-11,26966,393566
2022-12,3580,397146
2023-01,2538,399684
2023-02,39645,439329
2023-03,7724,447053
2023-04,2064,449117
2023-05,14223,463340
2023-06,8991,472331
2023-07,6989,479320
2023-08,6501,485821
2023-09,4264,490085
2023-10,2690,492775
2023-11,5722,498497
2023-12,4089,502586
2024-01,3831,506417
2024-02,3783,510200
2024-03,15857,526057
2024-04,1836,527893
2024-05,2132,530025
2024-06,65478,595503
2024-07,3170,598673
2024-08,7356,606029
2024-09,4108,610137
2024-10,5192,615329
