Date,Monthly Value,Accumulated Value
2015-01,806,806
2015-02,870,1676
2015-03,1212,2888
2015-04,1249,4137
2015-05,1186,5323
2015-06,1412,6735
2015-07,1346,8081
2015-08,1237,9318
2015-09,1233,10551
2015-10,1303,11854
2015-11,1361,13215
2015-12,1294,14509
2016-01,1538,16047
2016-02,1116,17163
2016-03,1486,18649
2016-04,1348,19997
2016-05,1363,21360
2016-06,1295,22655
2016-07,1258,23913
2016-08,1410,25323
2016-09,1238,26561
2016-10,1269,27830
2016-11,1302,29132
2016-12,1334,30466
2017-01,1017,31483
2017-02,1159,32642
2017-03,1601,34243
2017-04,1296,35539
2017-05,1357,36896
2017-06,1304,38200
2017-07,1306,39506
2017-08,1258,40764
2017-09,1136,41900
2017-10,1216,43116
2017-11,1301,44417
2017-12,1217,45634
2018-01,1227,46861
2018-02,900,47761
2018-03,1318,49079
2018-04,1126,50205
2018-05,1096,51301
2018-06,1192,52493
2018-07,1032,53525
2018-08,1026,54551
2018-09,999,55550
2018-10,1000,56550
2018-11,1117,57667
2018-12,981,58648
2019-01,985,59633
2019-02,918,60551
2019-03,1337,61888
2019-04,1290,63178
2019-05,1343,64521
2019-06,1132,65653
2019-07,1230,66883
2019-08,1131,68014
2019-09,1122,69136
2019-10,1127,70263
2019-11,1100,71363
2019-12,1051,72414
2020-01,919,73333
2020-02,747,74080
2020-03,980,75060
2020-04,1001,76061
2020-05,1086,77147
2020-06,1019,78166
2020-07,1118,79284
2020-08,775,80059
2020-09,837,80896
2020-10,884,81780
2020-11,851,82631
2020-12,892,83523
2021-01,754,84277
2021-02,691,84968
2021-03,844,85812
2021-04,885,86697
2021-05,915,87612
2021-06,863,88475
2021-07,705,89180
2021-08,650,89830
2021-09,713,90543
2021-10,732,91275
2021-11,757,92032
2021-12,800,92832
2022-01,769,93601
2022-02,571,94172
2022-03,760,94932
2022-04,717,95649
2022-05,645,96294
2022-06,620,96914
2022-07,643,97557
2022-08,679,98236
2022-09,605,98841
2022-10,613,99454
2022-11,575,100029
2022-12,475,100504
2023-01,587,101091
2023-02,569,101660
2023-03,653,102313
2023-04,610,102923
2023-05,579,103502
2023-06,534,104036
2023-07,461,104497
2023-08,588,105085
2023-09,539,105624
2023-10,526,106150
2023-11,524,106674
2023-12,413,107087
2024-01,493,107580
2024-02,465,108045
2024-03,499,108544
2024-04,510,109054
2024-05,421,109475
2024-06,445,109920
2024-07,507,110427
2024-08,421,110848
2024-09,396,111244
2024-10,549,111793
