Date,Monthly Value,Accumulated Value
2015-01,101,101
2015-02,61,162
2015-03,105,267
2015-04,135,402
2015-05,143,545
2015-06,130,675
2015-07,160,835
2015-08,108,943
2015-09,164,1107
2015-10,169,1276
2015-11,159,1435
2015-12,187,1622
2016-01,183,1805
2016-02,126,1931
2016-03,190,2121
2016-04,172,2293
2016-05,233,2526
2016-06,191,2717
2016-07,220,2937
2016-08,222,3159
2016-09,247,3406
2016-10,201,3607
2016-11,214,3821
2016-12,238,4059
2017-01,181,4240
2017-02,220,4460
2017-03,300,4760
2017-04,249,5009
2017-05,226,5235
2017-06,302,5537
2017-07,236,5773
2017-08,280,6053
2017-09,301,6354
2017-10,254,6608
2017-11,288,6896
2017-12,306,7202
2018-01,296,7498
2018-02,227,7725
2018-03,300,8025
2018-04,237,8262
2018-05,264,8526
2018-06,244,8770
2018-07,298,9068
2018-08,304,9372
2018-09,280,9652
2018-10,235,9887
2018-11,309,10196
2018-12,238,10434
2019-01,251,10685
2019-02,214,10899
2019-03,342,11241
2019-04,324,11565
2019-05,328,11893
2019-06,282,12175
2019-07,345,12520
2019-08,302,12822
2019-09,273,13095
2019-10,238,13333
2019-11,268,13601
2019-12,287,13888
2020-01,222,14110
2020-02,183,14293
2020-03,243,14536
2020-04,252,14788
2020-05,249,15037
2020-06,224,15261
2020-07,232,15493
2020-08,184,15677
2020-09,178,15855
2020-10,173,16028
2020-11,157,16185
2020-12,195,16380
2021-01,166,16546
2021-02,150,16696
2021-03,161,16857
2021-04,154,17011
2021-05,147,17158
2021-06,138,17296
2021-07,145,17441
2021-08,173,17614
2021-09,152,17766
2021-10,146,17912
2021-11,131,18043
2021-12,143,18186
2022-01,144,18330
2022-02,86,18416
2022-03,137,18553
2022-04,121,18674
2022-05,142,18816
2022-06,111,18927
2022-07,117,19044
2022-08,98,19142
2022-09,105,19247
2022-10,102,19349
2022-11,75,19424
2022-12,72,19496
2023-01,60,19556
2023-02,95,19651
2023-03,94,19745
2023-04,83,19828
2023-05,89,19917
2023-06,94,20011
2023-07,67,20078
2023-08,64,20142
2023-09,66,20208
2023-10,109,20317
2023-11,92,20409
2023-12,94,20503
2024-01,62,20565
2024-02,68,20633
2024-03,78,20711
2024-04,96,20807
2024-05,68,20875
2024-06,107,20982
2024-07,73,21055
2024-08,83,21138
2024-09,80,21218
2024-10,55,21273
