Date,Monthly Value,Accumulated Value
2015-01,88,88
2015-02,73,161
2015-03,96,257
2015-04,97,354
2015-05,82,436
2015-06,135,571
2015-07,98,669
2015-08,141,810
2015-09,121,931
2015-10,111,1042
2015-11,113,1155
2015-12,112,1267
2016-01,127,1394
2016-02,113,1507
2016-03,157,1664
2016-04,154,1818
2016-05,132,1950
2016-06,152,2102
2016-07,160,2262
2016-08,139,2401
2016-09,119,2520
2016-10,127,2647
2016-11,125,2772
2016-12,141,2913
2017-01,131,3044
2017-02,172,3216
2017-03,158,3374
2017-04,176,3550
2017-05,146,3696
2017-06,120,3816
2017-07,161,3977
2017-08,114,4091
2017-09,144,4235
2017-10,131,4366
2017-11,157,4523
2017-12,123,4646
2018-01,112,4758
2018-02,134,4892
2018-03,145,5037
2018-04,99,5136
2018-05,136,5272
2018-06,108,5380
2018-07,119,5499
2018-08,118,5617
2018-09,96,5713
2018-10,107,5820
2018-11,120,5940
2018-12,109,6049
2019-01,100,6149
2019-02,108,6257
2019-03,121,6378
2019-04,116,6494
2019-05,100,6594
2019-06,92,6686
2019-07,114,6800
2019-08,90,6890
2019-09,89,6979
2019-10,104,7083
2019-11,82,7165
2019-12,107,7272
2020-01,84,7356
2020-02,112,7468
2020-03,108,7576
2020-04,103,7679
2020-05,120,7799
2020-06,67,7866
2020-07,71,7937
2020-08,63,8000
2020-09,88,8088
2020-10,87,8175
2020-11,60,8235
2020-12,57,8292
2021-01,67,8359
2021-02,76,8435
2021-03,65,8500
2021-04,64,8564
2021-05,47,8611
2021-06,46,8657
2021-07,63,8720
2021-08,61,8781
2021-09,43,8824
2021-10,52,8876
2021-11,55,8931
2021-12,59,8990
2022-01,52,9042
2022-02,43,9085
2022-03,68,9153
2022-04,46,9199
2022-05,73,9272
2022-06,31,9303
2022-07,42,9345
2022-08,63,9408
2022-09,34,9442
2022-10,37,9479
2022-11,40,9519
2022-12,46,9565
2023-01,30,9595
2023-02,44,9639
2023-03,68,9707
2023-04,56,9763
2023-05,25,9788
2023-06,30,9818
2023-07,32,9850
2023-08,45,9895
2023-09,26,9921
2023-10,39,9960
2023-11,32,9992
2023-12,20,10012
2024-01,35,10047
2024-02,13,10060
2024-03,22,10082
2024-04,24,10106
2024-05,27,10133
2024-06,20,10153
2024-07,20,10173
2024-08,24,10197
2024-09,22,10219
2024-10,24,10243
