Date,Monthly Value,Accumulated Value
2015-03,4379,4379
2015-04,6671,11050
2015-05,-13584,-2534
2015-06,6326,3792
2015-07,1926,5718
2015-08,905,6623
2015-09,-2900,3723
2015-10,657,4380
2015-11,14324,18704
2015-12,3364,22068
2016-01,2459,24527
2016-02,1747,26274
2016-03,1423,27697
2016-04,57,27754
2016-06,33,27787
2017-02,6,27793
2017-04,3,27796
2017-09,3,27799
2017-10,-16,27783
2017-11,-16,27767
2018-07,6,27773
2019-09,55,27828
2019-10,8,27836
2020-02,2,27838
2020-09,10,27848
2021-08,5,27853
2021-11,7,27860
2022-01,7,27867
2023-12,6,27873
2024-02,1,27874
