Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,2,4
2015-03,3,7
2015-04,1,8
2015-05,4,12
2015-06,1,13
2015-07,3,16
2015-08,2,18
2015-10,3,21
2015-11,2,23
2015-12,3,26
2016-02,2,28
2016-03,2,30
2016-06,3,33
2016-08,1,34
2016-09,1,35
2016-10,1,36
2016-11,1,37
2017-02,1,38
2017-03,1,39
2017-04,1,40
2017-08,2,42
2017-09,3,45
2018-01,1,46
2018-03,2,48
2018-05,1,49
2018-07,2,51
2018-08,1,52
2018-09,1,53
2019-01,1,54
2019-03,2,56
2019-05,1,57
2019-06,3,60
2019-08,2,62
2019-10,1,63
2019-11,1,64
2019-12,1,65
2020-04,1,66
2020-05,2,68
2020-08,1,69
2020-09,1,70
2020-11,2,72
2020-12,2,74
2021-03,3,77
2021-05,1,78
2021-11,2,80
2022-02,1,81
2022-06,1,82
2022-09,1,83
2022-12,1,84
2023-01,1,85
2023-03,1,86
2023-05,1,87
2023-06,1,88
2024-07,1,89
2024-09,1,90
2024-10,1,91
