Date,Monthly Value,Accumulated Value
2019-04,11.87,11.87
2019-05,29.15,41.019999999999996
2019-06,23.71,64.72999999999999
2019-07,33.14,97.86999999999999
2019-08,23.99,121.85999999999999
2019-09,17.2,139.05999999999997
2019-10,14.71,153.76999999999998
2019-11,12.93,166.7
2019-12,3.71,170.41
2020-01,16.19,186.6
2020-02,15.73,202.32999999999998
2020-03,14.35,216.67999999999998
2020-04,7.32,223.99999999999997
2020-05,24.15,248.14999999999998
2020-06,24.12,272.27
2020-07,13.57,285.84
2020-08,10.29,296.13
2020-09,10.41,306.54
2020-10,9.7,316.24
2020-11,9.96,326.2
2020-12,30.62,356.82
2021-01,13,369.82
2021-02,9.3,379.12
2021-03,6.47,385.59000000000003
2021-04,6.45,392.04
2021-05,5.38,397.42
2021-06,7.09,404.51
2021-07,4.53,409.03999999999996
2021-08,5.08,414.11999999999995
2021-10,3,417.11999999999995
2021-11,1.49,418.60999999999996
2021-12,10.69,429.29999999999995
2022-01,3.67,432.96999999999997
2022-04,2.02,434.98999999999995
2022-06,2.11,437.09999999999997
2022-07,0.72,437.82
2023-09,2.02,439.84
2023-11,3.27,443.10999999999996
2023-12,0.72,443.83
2024-05,0.72,444.55
2024-06,0.72,445.27000000000004
