Date,Monthly Value,Accumulated Value
2019-04,5,5
2019-05,25,30
2019-06,28,58
2019-07,42,100
2019-08,20,120
2019-09,18,138
2019-10,11,149
2019-11,12,161
2019-12,1,162
2020-01,14,176
2020-02,7,183
2020-03,6,189
2020-04,6,195
2020-05,23,218
2020-06,12,230
2020-07,9,239
2020-08,5,244
2020-09,19,263
2020-10,6,269
2020-11,2,271
2020-12,20,291
2021-01,5,296
2021-02,3,299
2021-03,5,304
2021-04,1,305
2021-05,8,313
2021-06,6,319
2021-07,3,322
2021-08,3,325
2021-10,2,327
2021-12,12,339
2022-01,3,342
2022-07,1,343
2023-11,3,346
2023-12,1,347
2024-05,1,348
2024-06,1,349
