Date,Monthly Value,Accumulated Value
2019-06,5.8,5.8
2019-07,2.22,8.02
2019-08,5.49,13.51
2019-09,12.54,26.049999999999997
2019-12,1.45,27.499999999999996
2020-02,3.71,31.209999999999997
2020-03,9.73,40.94
2020-04,3.89,44.83
2020-07,7.34,52.17
2020-08,25.34,77.51
2020-09,19.48,96.99000000000001
2020-10,9.92,106.91000000000001
2020-11,17.07,123.98000000000002
2020-12,9.82,133.8
2021-01,12.53,146.33
2021-02,13.87,160.20000000000002
2021-03,8.27,168.47000000000003
2021-04,15.43,183.90000000000003
2021-05,16.28,200.18000000000004
2021-06,11.74,211.92000000000004
2021-07,9.59,221.51000000000005
2021-08,17.43,238.94000000000005
2021-09,12.46,251.40000000000006
2021-10,12,263.4000000000001
2021-11,7.81,271.2100000000001
2021-12,12.24,283.4500000000001
2022-01,15.79,299.2400000000001
2022-02,17.76,317.0000000000001
2022-03,12.7,329.7000000000001
2022-04,9.35,339.0500000000001
2022-05,15.54,354.59000000000015
2022-06,19.64,374.23000000000013
2022-07,16.14,390.3700000000001
2022-08,17.88,408.2500000000001
2022-09,11.39,419.6400000000001
2022-10,11.01,430.6500000000001
2022-11,13.09,443.74000000000007
2022-12,6.54,450.2800000000001
2023-01,21.38,471.6600000000001
2023-02,9.07,480.7300000000001
2023-03,15.83,496.56000000000006
2023-04,20.66,517.22
2023-05,15.06,532.28
2023-06,11.42,543.6999999999999
2023-07,16.68,560.3799999999999
2023-08,9.68,570.0599999999998
2023-09,13.59,583.6499999999999
2023-10,10,593.6499999999999
2023-11,14.4,608.0499999999998
2023-12,10.04,618.0899999999998
2024-01,9.23,627.3199999999998
2024-02,14.33,641.6499999999999
