Date,Monthly Value,Accumulated Value
2015-09,1,1
2015-10,2,3
2015-11,2,5
2015-12,2,7
2016-01,2,9
2016-02,2,11
2016-03,2,13
2016-04,2,15
2016-05,3,18
2016-06,3,21
2016-07,3,24
2016-08,3,27
2016-09,3,30
2016-10,5,35
2016-11,5,40
2016-12,5,45
2017-01,6,51
2017-02,7,58
2017-03,8,66
2017-04,9,75
2017-05,9,84
2017-06,7,91
2017-07,7,98
2017-08,8,106
2017-09,9,115
2017-10,9,124
2017-11,9,133
2017-12,10,143
2018-01,12,155
2018-02,13,168
2018-03,13,181
2018-04,14,195
2018-05,15,210
2018-06,15,225
2018-07,16,241
2018-08,16,257
2018-09,16,273
2018-10,16,289
2018-11,17,306
2018-12,19,325
2019-01,20,345
2019-02,20,365
2019-03,20,385
2019-04,21,406
2019-05,21,427
2019-06,22,449
2019-07,22,471
2019-08,22,493
2019-09,23,516
2019-10,22,538
2019-11,21,559
2019-12,21,580
2020-01,22,602
2020-02,22,624
2020-03,22,646
2020-04,22,668
2020-05,22,690
2020-06,22,712
2020-07,23,735
2020-08,23,758
2020-09,25,783
2020-10,26,809
2020-11,26,835
2020-12,26,861
2021-01,26,887
2021-02,26,913
2021-03,26,939
2021-04,26,965
2021-05,26,991
2021-06,26,1017
2021-07,27,1044
2021-08,27,1071
2021-09,27,1098
2021-10,27,1125
2021-11,27,1152
2021-12,27,1179
2022-01,27,1206
2022-02,27,1233
2022-03,27,1260
2022-04,27,1287
2022-05,26,1313
2022-06,26,1339
2022-07,26,1365
2022-08,26,1391
2022-09,26,1417
2022-10,26,1443
2022-11,28,1471
2022-12,28,1499
2023-01,28,1527
2023-02,28,1555
2023-03,29,1584
2023-04,29,1613
2023-05,28,1641
2023-06,28,1669
2023-07,28,1697
2023-08,29,1726
2023-09,29,1755
2023-10,29,1784
2023-11,30,1814
2023-12,30,1844
2024-01,30,1874
2024-02,29,1903
2024-03,29,1932
2024-04,29,1961
2024-05,29,1990
2024-06,30,2020
2024-07,30,2050
2024-08,31,2081
2024-09,31,2112
2024-10,31,2143
