Date,Monthly Value,Accumulated Value
2015-01,0.35,0.35
2015-02,0.36,0.71
2015-03,1.36,2.0700000000000003
2015-04,2.3,4.37
2015-05,0.78,5.15
2015-06,1.43,6.58
2015-07,4.24,10.82
2015-08,5.41,16.23
2015-09,5.87,22.1
2015-10,6.8,28.900000000000002
2015-11,4.81,33.71
2015-12,5.67,39.38
2016-01,5.53,44.910000000000004
2016-02,4.96,49.870000000000005
2016-03,7.59,57.46000000000001
2016-04,10.41,67.87
2016-05,11.03,78.9
2016-06,12.42,91.32000000000001
2016-07,11.41,102.73
2016-08,13.9,116.63000000000001
2016-09,12.91,129.54000000000002
2016-10,15.85,145.39000000000001
2016-11,12.76,158.15
2016-12,11.7,169.85
2017-01,9.55,179.4
2017-02,12.92,192.32
2017-03,14.45,206.76999999999998
2017-04,17.63,224.39999999999998
2017-05,18.02,242.42
2017-06,17.78,260.2
2017-07,20.64,280.84
2017-08,18.79,299.63
2017-09,17.11,316.74
2017-10,14.53,331.27
2017-11,16.27,347.53999999999996
2017-12,17.43,364.96999999999997
2018-01,20.55,385.52
2018-02,19.17,404.69
2018-03,20.53,425.22
2018-04,20.14,445.36
2018-05,18.2,463.56
2018-06,18.73,482.29
2018-07,16.62,498.91
2018-08,15.72,514.63
2018-09,14.01,528.64
2018-10,15.49,544.13
2018-11,13.84,557.97
2018-12,14.72,572.69
2019-01,17.06,589.75
2019-02,18.87,608.62
2019-03,18.14,626.76
2019-04,16,642.76
2019-05,16.45,659.21
2019-06,15.44,674.6500000000001
2019-07,14.56,689.21
2019-08,12.98,702.19
2019-09,14.36,716.5500000000001
2019-10,12.81,729.36
2019-11,11.74,741.1
2019-12,13.28,754.38
2020-01,11.13,765.51
2020-02,11.24,776.75
2020-03,9.19,785.94
2020-04,6.97,792.9100000000001
2020-05,5.89,798.8000000000001
2020-06,5.55,804.35
2020-07,4.79,809.14
2020-08,5.24,814.38
2020-09,4.57,818.95
2020-10,4.15,823.1
2020-11,4.33,827.4300000000001
2020-12,4.2,831.6300000000001
2021-01,5.93,837.5600000000001
2021-02,5.22,842.7800000000001
2021-03,4.41,847.19
2021-04,4.47,851.6600000000001
2021-05,4.33,855.9900000000001
2021-06,3.47,859.4600000000002
2021-07,4.58,864.0400000000002
2021-08,4.18,868.2200000000001
2021-09,2.07,870.2900000000002
2021-10,3,873.2900000000002
2021-11,3.41,876.7000000000002
2021-12,3.56,880.2600000000001
2022-01,1.67,881.9300000000001
2022-02,2.02,883.95
2022-03,2.87,886.82
2022-04,3.52,890.34
2022-05,3.94,894.2800000000001
2022-06,3.18,897.46
2022-07,2.63,900.09
2022-08,3.44,903.5300000000001
2022-09,2.84,906.3700000000001
2022-10,2.9,909.2700000000001
2022-11,2.78,912.0500000000001
2022-12,3.44,915.4900000000001
2023-01,3.29,918.7800000000001
2023-02,4.54,923.32
2023-03,3.86,927.1800000000001
2023-04,2.91,930.09
2023-05,3.39,933.48
2023-06,2.94,936.4200000000001
2023-07,2.19,938.6100000000001
2023-08,3.3,941.9100000000001
2023-09,2.41,944.32
2023-10,3.09,947.4100000000001
2023-11,4.17,951.58
2023-12,3.06,954.64
2024-01,3.5,958.14
2024-02,3.64,961.78
2024-03,2.48,964.26
2024-04,2.06,966.3199999999999
2024-05,2.79,969.1099999999999
2024-06,3.04,972.1499999999999
2024-07,3.29,975.4399999999998
2024-08,3.45,978.8899999999999
2024-09,3.54,982.4299999999998
2024-10,4.16,986.5899999999998
