Date,Monthly Value,Accumulated Value
2016-11,603,603
2016-12,185,788
2017-12,253,1041
2018-02,749,1790
2018-03,33332,35122
2018-05,24,35146
2018-09,46,35192
2018-10,615,35807
2019-02,110,35917
2019-08,-19,35898
2019-12,-245,35653
2020-01,2271,37924
2020-02,1,37925
2020-03,14,37939
2020-07,231,38170
2020-08,234,38404
2020-09,8,38412
2020-12,10,38422
2021-01,94,38516
2021-02,115,38631
2021-03,6,38637
2021-04,48,38685
2021-06,14,38699
2021-09,39336,78035
2021-10,8,78043
2021-11,-27,78016
2021-12,62,78078
2022-01,231,78309
2022-03,6,78315
2022-04,48,78363
2022-06,27178,105541
2022-07,3,105544
2022-08,4,105548
2022-09,20,105568
2022-10,28,105596
2023-02,443,106039
